epoch,lr,train_loss,train_f1_macro,train_iou_macro,train_acc_all,train_acc_no_bg,train_d21_acc,train_d21_f1,train_d21_iou,train_d21_bin_acc_all,train_pred_bg_frac,val_loss,val_f1_macro,val_iou_macro,val_acc_all,val_acc_no_bg,val_d21_acc,val_d21_f1,val_d21_iou,val_d21_bin_acc_all,val_pred_bg_frac,val_d11_acc,val_d11_f1,val_d11_iou,val_d11_bin_acc_all,val_d22_acc,val_d22_f1,val_d22_iou,val_d22_bin_acc_all
1,0.00019996641784760462,2.244389727399066,0.21609848499129744,0.13297352899188383,0.5483712683190832,0.19470270032387135,0.9170226536241418,0.25623565632678513,0.1605530700931962,0.9722645366107759,0.5945340670072116,0.9070596794287363,0.6797434643643876,0.5296302969511734,0.6381040016810099,0.7007605334122976,0.9749318358174169,0.8580619855354441,0.7563114296887129,0.9690017700194565,0.5084535479545593,,,,,,,,
2,0.00019986569440594827,2.042818645497302,0.35283385228048775,0.22087405647419142,0.42973637080692745,0.3103618173228277,0.9227868064666945,0.3979708532566544,0.25566202364719853,0.9696417321691244,0.4054436850381064,0.599695603052775,0.7711060128881339,0.6334097555039954,0.847790539264679,0.764291008313497,0.9763281416551143,0.8502647022812563,0.7452652958745473,0.9887245178221894,0.7117035786310831,,,,,,,,
3,0.0001996978987058466,2.0021114524427825,0.36012939618114764,0.22647302725766164,0.45322236814698974,0.3125490083040057,0.9251249222346484,0.40796172633379907,0.26363977803216365,0.970464426320676,0.4337854985590581,0.7407309810320536,0.779295060381951,0.6445889722670181,0.5840209126472473,0.7877641419569651,0.9756457916824716,0.8625928282699817,0.7633161309483518,0.9078881157768396,0.43833864231904346,,,,,,,,
4,0.00019946314574609083,1.9809473886356488,0.36650750527196696,0.23139468766802176,0.49546947345867026,0.3101430711681609,0.9165085114468547,0.3960016601870865,0.2533045236486534,0.9620343721829194,0.485586046338915,0.6343177457650503,0.7804059990607654,0.6501540177755889,0.78421750664711,0.781187911828359,0.9803563089158805,0.8819975210580462,0.794062849847668,0.9819313897026151,0.6409897804260254,,,,,,,,
5,0.00019916159641463347,1.9596363772879113,0.3688738506855078,0.23426121105181896,0.47108784922353036,0.3166608612437348,0.9281020903130606,0.41334975634330223,0.26806954298096386,0.9755155123196376,0.4515934657383632,0.7369258006413778,0.7111775184865663,0.5680401916047325,0.7950527667999268,0.7006868521372477,0.9747176853972229,0.8376833724663739,0.7247402743171308,0.9920290629068246,0.6687536537647247,,,,,,,,
6,0.00019879345737832356,1.94648547772761,0.37362677593210564,0.23775749785320302,0.5295526464502295,0.31288587744836205,0.9164514723946768,0.3976922485312357,0.25550108377711983,0.9624046379035269,0.5238215839946186,0.5238274534543356,0.8069299151132862,0.6826496079199171,0.8870440224806467,0.803838312625885,0.9794563376518987,0.880329273690279,0.7915440645159012,0.9899191114636822,0.743496706088384,,,,,,,,
7,0.00019835898094126763,1.941870944483297,0.3766741167740191,0.24188577064715372,0.4257209617774803,0.3294833775583681,0.8946640584686412,0.38880411931475695,0.2498161127498909,0.9357077325139969,0.39529280229048297,0.46922924121220905,0.8267908198522393,0.7107858164140395,0.8378900388876597,0.8280157546202341,0.980541830472739,0.8876499589658464,0.8021015075089433,0.9870978461370766,0.6859937906265259,,,,,,,,
8,0.00019785846487191302,1.9200811552834678,0.3990663403049521,0.25845007036288115,0.5095268729683402,0.33477711301114593,0.9278560813483661,0.42140950549871004,0.27586785539480035,0.974431017895604,0.493626307774257,0.4357425421476364,0.844615031417577,0.7358248959797323,0.8095398843288422,0.845385859409968,0.981759067312686,0.8894951303886375,0.8056900727120665,0.9874621921114689,0.6540404458840688,,,,,,,,
9,0.00019729225219897235,1.9155244360436927,0.39077598347801107,0.25194791890966445,0.4886576512476781,0.33273159144641634,0.9232883051402132,0.41090555210560875,0.26712895454106245,0.9697127975783236,0.4686085627629207,0.7455688317616781,0.7385838593773064,0.6028303759162766,0.6105011900266012,0.7508546113967896,0.9629110582975603,0.7982123264945652,0.6666805813314164,0.9309839884439385,0.4722946186860402,,,,,,,,
10,0.00019666073097632873,1.9117821246593982,0.40254934838205886,0.261677817407086,0.5245876178874836,0.3348845840021447,0.9303194189654914,0.42581513062002685,0.2797454138024669,0.975990242057672,0.5124209744113308,0.6473247905572256,0.7770392829380951,0.6477381944150582,0.8739279905954996,0.7632857461770376,0.9826745619896272,0.8948062910407554,0.813815897652642,0.9917561848957569,0.7386462787787119,,,,,,,,
