epoch,split,loss,acc_all,acc_no_bg,f1_macro,iou_macro,d21_acc,d21_f1,d21_iou,d21_bin_acc_all,pred_bg_frac,lr,sec,d11_acc,d11_f1,d11_iou,d11_bin_acc_all,d22_acc,d22_f1,d22_iou,d22_bin_acc_all
1,train,2.2305316259986476,0.3713193676516152,0.2714250800967739,0.28008992567804775,0.1783460768445311,0.8953548367436431,0.32345108533190103,0.20980214661631458,0.9403519371343056,0.35380328464599553,0.00019996590383506793,754.6790382862091,0.9287794225135845,0.39364681068293506,0.27274502620052665,0.9738142909354687,0.9546509502913353,0.33743407961621724,0.22523501215412708,0.9890996710524264
1,val,0.7512208856642246,0.7671819950143496,0.7391493245959282,0.7339476557107997,0.5997782563263282,0.9754904513876795,0.83848323417677,0.7392802631475403,0.9847971643516438,0.6309826299548149,0.00019996590383506793,754.6790382862091,0.9779528356469359,0.8622947922354557,0.7717409391150452,0.9788622685183118,0.9704542824062014,0.6956212210569944,0.5580169614079219,0.9873246527775693
2,train,2.109402985321848,0.472941553331258,0.2932561602247389,0.3217675583984307,0.21481253345568604,0.9094407285564924,0.3588449542287809,0.24200512545663164,0.9539316885962907,0.4652842415267961,0.0001998636387080801,1046.969816684723,0.9171561281666196,0.3689223827803268,0.2512368143154025,0.9650625730992135,0.9543092714414321,0.36214089202763533,0.24940201299701417,0.9875808845027176
2,val,0.6427721232175827,0.7704597736398379,0.7565205655992031,0.7485328670013001,0.6171925761632525,0.9758955439802693,0.8431752488938428,0.7445880622528169,0.9866429398146065,0.6316356969376405,0.0001998636387080801,1046.969816684723,0.9740147569432334,0.8407581838773927,0.7361089133040815,0.9849372106479404,0.9753776041654544,0.7674752611113456,0.6458070040894724,0.9887546296294208
3,train,2.080741816445401,0.4874803300750883,0.29615546546451615,0.3270451765849725,0.21856901305099524,0.9149814814804595,0.3667485679200199,0.2486540576603026,0.9606544956138346,0.48052514130086227,0.00019969327470644626,1113.612731218338,0.9110101120847557,0.3740613549578723,0.2564320739503999,0.9553597222220235,0.9530872928839296,0.3598112469107343,0.2483294845620473,0.9853755482454084
3,val,0.5903917613128821,0.8183081472913424,0.7757291917999586,0.7622600391693872,0.6431134627077236,0.980564236109895,0.8754150020942472,0.7935295100967812,0.984812499999792,0.6773483753204346,0.00019969327470644626,1113.612731218338,0.9795037615728592,0.8670996537226571,0.7799853066097998,0.9858368055553473,0.9788454861098977,0.796845722331871,0.6862356597976064,0.987557291666458
4,train,2.0496188409495772,0.5022079625673461,0.3053494228066452,0.33704200682666835,0.22795899893170454,0.9187309332348441,0.37364247822773017,0.25567918133284273,0.9646056286547701,0.49575050671895343,0.0001994549285891432,1141.833295583725,0.9259720394726533,0.3948191338945923,0.2785648432929105,0.9708513523389787,0.9561943835272014,0.35827829784587184,0.24873942070847044,0.989599415204472
4,val,0.5558742408951124,0.8081704154610634,0.800908587872982,0.7931735120505677,0.6770882253946781,0.9794560185173055,0.8681918981158793,0.7866986869517171,0.9868130787034953,0.661199356118838,0.0001994549285891432,1141.833295583725,0.9807031249987848,0.8784763463339585,0.7993454569427483,0.983674189814607,0.9777054398136035,0.7781548178379697,0.6646604240519756,0.990341435184976
5,train,2.027906774428853,0.5024896889925003,0.31109217338656125,0.34209437932056613,0.23200779987493633,0.9209616837221742,0.3800997264108468,0.26039901512148034,0.9669620614033069,0.49375452728647934,0.00019914876370669414,1125.5435366630554,0.934739217835216,0.3974181828036581,0.28092186585093754,0.9828582236840049,0.9565356359638482,0.36990698094807156,0.2572484638900114,0.9899942251459941
5,val,0.5422718152403831,0.8061698451638222,0.7989887346824011,0.7951710805593571,0.6803154764342638,0.9777748842580469,0.8458166967763892,0.7524817830684655,0.9920054976849756,0.6591345419486364,0.00019914876370669414,1125.5435366630554,0.9783015046284188,0.8574609904745887,0.7707354690088795,0.9900570023146059,0.9762528935173043,0.7735591976751857,0.6502574771605235,0.9907309027775687
6,train,2.0061236098147277,0.5120674295383587,0.3164838642927638,0.34958302489352566,0.23855976008120958,0.9216374268995559,0.3789452343381724,0.2596225197829426,0.9678322733916117,0.5030376410798023,0.0001987749898892162,1150.330328464508,0.9303585526305449,0.40052048881628094,0.281777434998555,0.9763229166664646,0.9557331871334405,0.34584903009728973,0.23513968066392932,0.9898032163740621
6,val,0.5418041298786799,0.8138078674674034,0.8067086438337961,0.8026700181091404,0.6914474495708816,0.977585358795085,0.8616531132760147,0.775665807236367,0.9833217592590517,0.6657922392090162,0.0001987749898892162,1150.330328464508,0.9810546874987849,0.8828350737019356,0.8053916127830513,0.9845708912034961,0.9753313078691624,0.7502794650130299,0.6330897505755474,0.9900899884257169
7,train,1.995385427851426,0.5160987519904187,0.31924891130377847,0.35582529186401357,0.24240238254199384,0.9229718567241191,0.3864078296689402,0.2642007997433186,0.9693286184208522,0.5069173911423014,0.00019833386330261348,1150.5672936439514,0.9276820784590059,0.38939697479366103,0.2748738317554432,0.9747380482454113,0.9576856115973741,0.3622284630252067,0.25491143210002265,0.9904645102337117
7,val,0.5274721806248029,0.8432742903629938,0.8005237480004629,0.7965694363391664,0.6853930176226607,0.9822251157395222,0.8838751441077761,0.8082702133176299,0.9895109953701615,0.697021114329497,0.00019833386330261348,1150.5672936439514,0.9798104745358224,0.8648901944569983,0.7800386943794785,0.9892977430553467,0.9807407407395218,0.7916836981655795,0.6835354869464533,0.9923541666664573
8,train,2.0016146440255014,0.531130878339734,0.31680507557303234,0.3498093200027788,0.2409713897082375,0.9236074561393243,0.37848488299503036,0.2624179043834904,0.9704846125728981,0.5258607776802883,0.00019782568627301365,1141.8985922336578,0.9302310550671875,0.4016991295981906,0.2835642913384509,0.9779757675436543,0.9570925925915253,0.3725567703414654,0.25908370851220497,0.9904250365495008
8,val,0.47978667976955575,0.9027667765816053,0.8270558714866638,0.8317518627217168,0.7304671861525293,0.9804846643506361,0.8683239472022811,0.7855414950358234,0.9933509837960867,0.7551388889551163,0.00019782568627301365,1141.8985922336578,0.9818807870358194,0.8853670154641203,0.8084127931964229,0.9916238425923831,0.9795413773135975,0.7906310052640748,0.6796728750365423,0.9933339120368275
9,train,1.9805176820671349,0.5350792344202076,0.32183419286044673,0.3609727322141565,0.24791848281676104,0.9239751461978019,0.38651414451041655,0.2648635867540869,0.9707019736840087,0.5287103746021004,0.00019725080707956878,1144.7923617362976,0.9209011939560906,0.3929628146387383,0.27366977221564354,0.9653440058477519,0.9572994030203791,0.3852987270617961,0.27060541702689844,0.988887463450087
