epoch,train_loss,val_loss,train_f1m,val_f1m,train_ioum,val_ioum,train_acc_all,val_acc_all,train_acc_no_bg,val_acc_no_bg,train_d21_f1,val_d21_f1,val_d11_f1,val_d11_iou,val_d22_f1,val_d22_iou
1,2.4087287313059758,1.480020672082901,0.22114909408144381,0.6364938921692964,0.1364414066224503,0.4846638377168839,0.5319039863452577,0.8681784172852834,0.21369745802591766,0.6311474790175756,0.30338012321893937,0.7919015554295691,0.8042325243600196,0.6762404075220143,0.6576059651365611,0.49764357007697746
2,2.307300541275426,1.2366008857885997,0.30206219205096574,0.6941682716532448,0.18724122693006442,0.5431097051468519,0.647634566457648,0.8154558489720026,0.24506527886056065,0.6963408291339874,0.36198892717579495,0.7851699590163056,0.8287299585223673,0.7119081335956504,0.548994012807865,0.3858083484079809
3,2.28874341228552,1.1763885418574016,0.3150640790364868,0.732343929745049,0.19661404838018964,0.5883904262815509,0.656008589895148,0.749638150135676,0.2530389985559802,0.7394426564375559,0.36604608549594386,0.8496709349627873,0.8536295126150203,0.7484093738108575,0.7307238163682669,0.583314609592363
4,2.221143184628403,0.8517893304427465,0.3190176981605483,0.7219165776393465,0.200862926364308,0.5730004498308506,0.644082748680784,0.8018072247505188,0.2579406103348,0.7198839833339056,0.36764388128686487,0.7906977695951168,0.7999595369549207,0.668190620475785,0.6898090276397446,0.5335486703358764
5,2.167471456109432,1.0059016545613606,0.3219397416128346,0.7118204065077197,0.20415680305060982,0.5637610824085774,0.6015566641824287,0.8434466421604156,0.2674400891912611,0.7040105511744817,0.3794853650372649,0.8469562616773926,0.83390627380453,0.7204366769767753,0.7386953187341381,0.5918118069264746
6,2.163570941331094,0.9616784205039343,0.32226475299836926,0.6593912208207826,0.20482407363942173,0.5070701195897531,0.6161507054379112,0.7922610342502594,0.2650165701023581,0.6652785191933314,0.37078354627377336,0.8240500701813106,0.7814357502263705,0.6436516863764882,0.706401786940492,0.5536211810710553
7,2.1351125570765714,0.7179703414440155,0.32951461420741324,0.7422316713359852,0.21038270890950675,0.5983698816828545,0.6180497018914474,0.8092689563830694,0.26995008994351355,0.7408382048209509,0.3828116956876813,0.8502789303021271,0.8426800914378068,0.7301478916208519,0.7688752836437706,0.629966997864695
8,2.1307425867047227,0.855196475982666,0.3328227526789968,0.7155932526266415,0.21178161984878624,0.5659415994049001,0.617525495562637,0.7831671585639318,0.27283281001932264,0.7190991143385569,0.3840626588453155,0.8255745016845041,0.8345606640715563,0.7199249214905544,0.6824188952603497,0.5256016460069989
9,2.1254277756339626,0.7670145630836487,0.3378355208916363,0.7279902473851391,0.21610247505967903,0.5797940756956925,0.6178457695141173,0.8504266291856766,0.27654327989572236,0.7239671349525452,0.3891625365940712,0.8225177054390751,0.8220520754007855,0.7008096385421821,0.6405613779317035,0.47668776410082603
10,2.1226427308300084,0.9912285705407461,0.34008249867358786,0.6977207443293946,0.2163290238106182,0.5474010740522037,0.6049842165227521,0.8480013906955719,0.2795032364528692,0.6969759811957678,0.3985180222769815,0.7978299792823984,0.8138958321650444,0.6922663395897571,0.6591113024590475,0.5005768517137831
