epoch,lr,train_loss,train_f1_macro,train_iou_macro,train_acc_all,train_acc_no_bg,train_d21_acc,train_d21_f1,train_d21_iou,train_d21_bin_acc_all,train_pred_bg_frac,val_loss,val_f1_macro,val_iou_macro,val_acc_all,val_acc_no_bg,val_d21_acc,val_d21_f1,val_d21_iou,val_d21_bin_acc_all,val_pred_bg_frac,val_d11_acc,val_d11_f1,val_d11_iou,val_d11_bin_acc_all,val_d22_acc,val_d22_f1,val_d22_iou,val_d22_bin_acc_all
1,0.00019996641784760462,2.262270475600983,0.20499107198248356,0.12668638777340221,0.4902310671506228,0.19424281916424382,0.9178522521978223,0.24069033574302667,0.15273555840757455,0.9733590079353492,0.5281520923534473,1.0160070558389027,0.7327532012242696,0.584064600995704,0.7031911313533783,0.7389513154824575,0.9646856564778354,0.7785807817992785,0.6407010665972593,0.9835161844888564,0.5670788288116455,,,,,,,,
2,0.00019986569440594827,2.046340629771039,0.35232545767020795,0.22047954679470888,0.44092922610836427,0.3068491309047579,0.9204710725152897,0.3937608610054163,0.2521289723948898,0.9652310351391035,0.4224164736020815,0.6392241915067037,0.7736560647696785,0.6366201917261897,0.8496866921583811,0.7689440051714579,0.9777605259171683,0.8652411417491485,0.767788539825224,0.9891218397351667,0.7120246986548106,,,,,,,,
3,0.0001996978987058466,2.0023327290594994,0.35464268267250076,0.22292044830370636,0.5206934255319875,0.29806060552388636,0.9113997434577001,0.3871842374705466,0.246971883930514,0.9554703185607607,0.5195951661863527,0.6189704040686289,0.7835593365016856,0.6503283753298804,0.8136360247929891,0.783353348573049,0.9774687770677272,0.870771531364109,0.7767784572614765,0.9832445780435438,0.671075443426768,,,,,,,,
4,0.00019946314574609083,1.9893722442480235,0.369285616165222,0.23414600376521608,0.49662924813223885,0.31179707935014805,0.9190086241593506,0.40124038015884966,0.258007127242991,0.9650086622971027,0.4865371063872651,0.6114292144775391,0.7748760487966275,0.6398200140458147,0.8525539934635162,0.7691301504770914,0.9771755513509667,0.8601175434834386,0.7605554590334581,0.9894053141275276,0.7156601051489512,,,,,,,,
5,0.00019916159641463347,1.9772575776893775,0.3818627650288706,0.24436690822567544,0.505029371568373,0.32151634933856815,0.9227494024481753,0.4066815974146517,0.26371008811307706,0.9698125132313233,0.4924287595948973,0.5979296068350474,0.7866343604482436,0.6539105881681516,0.8385030229886373,0.780791312456131,0.9691741590890466,0.8052136408389173,0.6797664532238002,0.9886329650878144,0.697950154542923,,,,,,,,
6,0.00019879345737832356,1.9452625112933712,0.3854035264949161,0.24705074735866223,0.4746709970327524,0.32991128821264615,0.9253107543731418,0.41324874649131066,0.2679314217012343,0.9716092623196378,0.4531244131234976,0.47341354191303253,0.8259917438584387,0.7084793907751895,0.8753635883331299,0.8225253721078237,0.9803537605044493,0.8801167971995145,0.7906044129525127,0.9899636162651144,0.7275271117687225,,,,,,,,
7,0.00019835898094126763,1.9340328078169924,0.38996481436892094,0.2497046825609446,0.5034371756173514,0.32964836488236915,0.9251295814478878,0.41758121530701486,0.27017312125354187,0.9716189191057222,0.48765862738335886,0.4714656323194504,0.8254391846346548,0.7086401517912835,0.8881511390209198,0.8181832432746887,0.9723558065014622,0.8267984017233602,0.7098701557795454,0.990538957383821,0.7416894733905792,,,,,,,,
8,0.00019785846487191302,1.9273799716175852,0.39818758269404786,0.25839761450112697,0.495385816880873,0.33810293966239985,0.9281629740047361,0.41828310481546993,0.2735568279047954,0.9752222341256632,0.47460612050303214,0.5099444290002187,0.8044326712561639,0.6810910751828341,0.8535766700903574,0.8067547281583151,0.9821284518624732,0.8952204000241791,0.8146380916380432,0.9870651245116426,0.7070518533388773,,,,,,,,
