epoch,train_acc,train_d21_acc,train_d21_f1,train_d21_iou,train_f1,train_iou,train_loss,train_prec,train_rec,val_acc,val_d21_acc,val_d21_f1,val_d21_iou,val_f1,val_iou,val_loss,val_prec,val_rec
1,0.06576642394065857,0.8896407277960526,0.04315025976848618,0.023234402437198074,0.03121129982173443,0.016165371984243393,3.165966373995731,0.047042738646268845,0.04795399680733681,0.08444052934646606,0.9464320242404938,0.0,0.0,0.017413679510354996,0.00932822935283184,2.922787348429362,0.019913652911782265,0.0775844007730484
2,0.06692580878734589,0.9364343342028166,0.00853744223081938,0.004347473676438982,0.03101300448179245,0.016120096668601036,3.009863455672013,0.05247200280427933,0.05208427459001541,0.089323990046978,0.9464320242404938,0.0,0.0,0.020567113533616066,0.011309567838907242,2.753820836544037,0.014532155357301235,0.0921429693698883
3,0.07128781825304031,0.9330808539139597,0.01391886469451054,0.0072036362174242785,0.03289997950196266,0.017140580341219902,2.987110851940356,0.05750339850783348,0.05931410565972328,0.0890689268708229,0.9464320242404938,0.0,0.0,0.021030105650424957,0.011571672745049,2.7341772516568503,0.016352320089936256,0.09703555703163147
4,0.06606469303369522,0.9388016951711554,0.005555746292631014,0.002815853539045508,0.031828444451093674,0.016594648361206055,2.9467855102137515,0.06402594596147537,0.06382755935192108,0.1515130251646042,0.9464320242404938,0.0,0.0,0.03387422859668732,0.020210636779665947,2.695708413918813,0.0329207219183445,0.10043830424547195
5,0.07510785758495331,0.9384237189041941,0.008608973366387355,0.004394953059435418,0.03632991015911102,0.019005686044692993,2.8883750300658377,0.06596793234348297,0.06641779839992523,0.08442061394453049,0.9464320242404938,0.0,0.0,0.0225275419652462,0.012330157682299614,2.775338093439738,0.029202980920672417,0.08539990335702896
6,0.07003627717494965,0.9362463298596834,0.013556898339586551,0.0069973296211652556,0.03285457566380501,0.017261052504181862,2.937298553868344,0.060874395072460175,0.06253481656312943,0.09495078772306442,0.9464320242404938,0.0,0.0,0.020789174363017082,0.011585520580410957,2.651378651460012,0.013955015689134598,0.09645556658506393
7,0.06856316328048706,0.9414406625848067,0.0004525551901715931,0.00022653840309143754,0.028643157333135605,0.014967717230319977,2.8890006968849584,0.06700204312801361,0.06593890488147736,0.09334331005811691,0.9464320242404938,0.0,0.0,0.024034686386585236,0.013172448612749577,2.6296603083610535,0.017555123195052147,0.09792321175336838
8,0.0756770521402359,0.939127590781764,0.006225729199239442,0.003205461823132569,0.03210344910621643,0.01681971363723278,2.90606554934853,0.06394282728433609,0.06500187516212463,0.09831157326698303,0.9464320242404938,0.0,0.0,0.025422200560569763,0.014123057015240192,2.6541042725245156,0.016201088204979897,0.10055210441350937
9,0.07000584155321121,0.9409806904039885,0.0016805673205765525,0.000845137462601997,0.030861778184771538,0.016207201406359673,2.8516319438030844,0.0662432461977005,0.06558467447757721,0.09583033621311188,0.9464320242404938,0.0,0.0,0.025698551908135414,0.01421885471791029,2.5382384161154428,0.01902778074145317,0.10374116152524948
10,0.0671062245965004,0.9391071118806538,0.005121241021645856,0.002666388639964249,0.030013825744390488,0.01571483165025711,2.8854978711981523,0.06427891552448273,0.06814632564783096,0.0884842723608017,0.9464320242404938,0.0,0.0,0.026509590446949005,0.014583926647901535,2.6346366802851358,0.06173662096261978,0.09770563989877701
