epoch,split,loss,acc_all,acc_no_bg,f1_macro,iou_macro,d21_acc,d21_f1,d21_iou,d21_bin_acc_all,pred_bg_frac,lr,sec
1,train,2.2363130979604655,0.7011349551327579,0.1448414395009721,0.18733942549176796,0.10856423406763513,0.9081420166739812,0.2655327744427145,0.15828766406444347,0.968744131234903,0.796208094883632,0.0002999487700838458,10.227590322494507
1,val,2.263104240099589,0.8147823810577393,0.00027133360466298956,0.00036997325712376196,0.00018644856728043994,0.915458980545594,0.0,0.0,0.9843226114908094,0.9999055763085684,0.0002999487700838458,10.227590322494507
2,train,2.035448812938237,0.7810493415885872,0.2210886082970179,0.3111952696584667,0.19008815496304626,0.9275553647062996,0.37965980771040303,0.24141165547875637,0.9802070564322625,0.8630567430616258,0.0002997951154458088,5.63987135887146
2,val,1.7375299135843914,0.8410645425319672,0.3013361344734828,0.34024367680526874,0.23092469876126706,0.9476397191022349,0.5903034380786326,0.4195141475928048,0.9887479994031355,0.8754801551500956,0.0002997951154458088,5.63987135887146
3,train,1.9803888472643765,0.7938037685581021,0.2370475497279134,0.33826555373685857,0.2094586565785817,0.9303680008663558,0.3967824358457557,0.2535730802741654,0.9817374702933034,0.8728159657725088,0.00029953914139310266,5.647368431091309
3,val,0.9041053354740143,0.7712307473023733,0.6629057824611664,0.6586669896509053,0.5068660120669698,0.9620100574194539,0.7879888502951803,0.6503961059039317,0.9787470499673724,0.6598554849624634,0.00029953914139310266,5.647368431091309
4,train,1.9660087982257763,0.7979204404604184,0.24177668394742313,0.3456180134407546,0.21578049651216294,0.9304422005231846,0.39370913353115755,0.2525666309241346,0.9819345540932924,0.8764962683190832,0.00029918102335755686,5.662903308868408
4,val,0.9090222815672556,0.8634116351604462,0.6053481996059418,0.5916726642011315,0.44077233424304607,0.9596777065523052,0.762922408380052,0.6206919908023177,0.9848134358723198,0.7683203915754954,0.00029918102335755686,5.662903308868408
5,train,1.9351011539672638,0.805574056985495,0.24662146617013675,0.35528930680990173,0.22257717682111253,0.93182410186282,0.4031612957163272,0.2590348836764029,0.982864486587556,0.8837186373197116,0.00029872100677538467,5.645996332168579
5,val,0.8711203535397848,0.8234077493349711,0.6380763451258341,0.6430926792916248,0.4862133978416135,0.972225804906259,0.8543832939240449,0.7474814926917016,0.9676531473794826,0.7170968055725098,0.00029872100677538467,5.645996332168579
6,train,1.9147444179841688,0.8078662898990657,0.24802022281434985,0.35815858939042705,0.22520455753210294,0.9320550053164621,0.40621974203614836,0.2620972932066479,0.9828890286958384,0.8856883015665975,0.0002981594069189731,5.652611494064331
6,val,2.3038093646367392,0.8153638243675232,0.0030872677452862263,0.004380313850576777,0.002262422117941485,0.9159104966221099,0.021611818590888603,0.011168863487847779,0.9844078063964083,0.9988530476888021,0.0002981594069189731,5.652611494064331
7,train,1.8829831601856473,0.8154826664424443,0.2548229774603477,0.36969676182680217,0.2334150669606561,0.9337232182906755,0.4175816903954041,0.2705976531056528,0.9839635995717397,0.8933994319889095,0.0002974966086808112,5.661583185195923
7,val,1.0565130909283955,0.8461463153362274,0.5093000034491221,0.523069886745938,0.38057272872276027,0.9774694991952809,0.8654286186439893,0.7634603324970451,0.9898991054958003,0.7635325988133749,0.0002974966086808112,5.661583185195923
8,train,1.8774898218941856,0.8154890687315615,0.2552087417171968,0.36798719300254146,0.23349362588542283,0.933799551392157,0.4160668046652712,0.27121712195269737,0.9840260752430411,0.8931461147495083,0.0002967330663097039,5.670971632003784
8,val,0.89981081088384,0.8901790281136831,0.7299803495407104,0.7388568227388941,0.6007046053212101,0.978907525370028,0.873979880491684,0.7769479308094578,0.990451049804611,0.769454707702001,0.0002967330663097039,5.670971632003784
