epoch,lr,train_loss,train_f1_macro,train_iou_macro,train_acc_all,train_acc_no_bg,train_d21_acc,train_d21_f1,train_d21_iou,train_d21_bin_acc_all,train_pred_bg_frac,val_loss,val_f1_macro,val_iou_macro,val_acc_all,val_acc_no_bg,val_d21_acc,val_d21_f1,val_d21_iou,val_d21_bin_acc_all,val_pred_bg_frac,val_d11_acc,val_d11_f1,val_d11_iou,val_d11_bin_acc_all,val_d22_acc,val_d22_f1,val_d22_iou,val_d22_bin_acc_all
1,0.00019996641784760462,2.244389727399066,0.21609718931455746,0.13297248089954275,0.5483706280901716,0.19470270032387135,0.9170317257485986,0.2562375500543894,0.16055436172388743,0.9722742467492703,0.594532253025295,0.9070607622464498,0.6794590172442327,0.5292733405976738,0.6380446553230286,0.700459768374761,0.9748650599836998,0.857838178792731,0.7559622545013687,0.9689233567978853,0.5084631244341532,,,,,,,,
2,0.00019986569440594827,2.042704421323496,0.35319063767045394,0.22121892438446628,0.42278300465403734,0.31111343126822183,0.9231163173255799,0.3984274146550876,0.25609612695013906,0.9697520649515766,0.3970506574724104,0.6069925228754679,0.770826347819546,0.6325748096109066,0.8294848203659058,0.76369309425354,0.9747090245254667,0.8455419980423541,0.7384018241314473,0.9847997029621635,0.6932169695695242,,,,,,,,
3,0.0001996978987058466,2.0027231169747304,0.36503001007991903,0.23011864822717246,0.4580619118430398,0.31608066541123225,0.9253903703287103,0.40918659807505,0.26457168742459714,0.971197114957722,0.43763754251119974,0.7049459318319956,0.7847792059461799,0.6527170595064944,0.5852931638558706,0.7946343719959259,0.9761446373965184,0.865113698802004,0.7672884374103622,0.9258088853623417,0.4382694711287816,,,,,,,,
4,0.00019946314574609083,1.9808252899796812,0.36624137492191494,0.23134175453654235,0.49625802206826375,0.3074713367057013,0.9146427929866741,0.39586435827010996,0.2536712273741825,0.9598357727476869,0.489227294921875,0.8058453996976217,0.7470287214599748,0.6108010159190677,0.7637931903203329,0.7440635859966278,0.9787246360845748,0.8690407957984719,0.7736738083698715,0.9858112759059569,0.6273783445358276,,,,,,,,
5,0.00019916159641463347,1.958699748232648,0.3757538588691919,0.23930336476273303,0.47115251234361344,0.32304563263913133,0.9222189435794207,0.40867044548170484,0.26415700113059176,0.9686379599403766,0.4499033147638494,0.6117200255393982,0.7802271213241058,0.6483958039035699,0.7414213418960571,0.7780459622542063,0.9768923701955331,0.8544529441737289,0.7504425152447007,0.9885615030923716,0.5984721779823303,,,,,,,,
6,0.00019879345737832356,1.945309348873325,0.37651135539358427,0.23984299875436266,0.5385056609040374,0.31389879523874165,0.9189745817013858,0.4000632596222414,0.2572390512305595,0.96525296297933,0.5349534041398055,0.5148148735364279,0.8131308118173921,0.6911176702159229,0.9075901508331299,0.8030277887980143,0.9796262985246983,0.8789857625988139,0.7892831087675501,0.9917787339951492,0.766663114229838,,,,,,,,
7,0.00019835898094126763,1.9413841520989692,0.379317566199142,0.24311294069122197,0.4838651110242297,0.3239852861872503,0.9234489581749152,0.4043949424987943,0.2619267711599165,0.9681117984797667,0.4686595143138112,0.45902171234289807,0.8419855122785348,0.7317454947039254,0.7855990131696066,0.8453996578852335,0.9792313786128372,0.8762826070389075,0.7841482586587764,0.9869270324706271,0.6296449502309164,,,,,,,,
8,0.00019785846487191302,1.9189692777353566,0.40251731366161336,0.2608000962773923,0.5403096125676081,0.33158577900783687,0.9283486123181126,0.4217539545881672,0.2759246479755593,0.9751698420597213,0.5317016281448044,0.3936925878127416,0.8540920993912292,0.7492860694719231,0.8594087461630503,0.8532894949118296,0.9817129536447774,0.8897136997302751,0.8061218052155744,0.9898284064398107,0.7036127746105194,,,,,,,,
9,0.00019729225219897235,1.9151431122026243,0.392412579026516,0.2532411672665065,0.4775973233309659,0.33760527823563224,0.9186691292720961,0.40710681385457265,0.2641387560908905,0.963666849202969,0.4531566379787205,0.6204143961270651,0.7635321967419109,0.631294052037107,0.8278033832708994,0.7611898879210154,0.976400974042507,0.8702811087102146,0.7732622900788845,0.9693706088595171,0.6897032856941223,,,,,,,,
10,0.00019666073097632873,1.9128844012747277,0.4006741497381046,0.26001508708335874,0.5006481784207004,0.34010224596603766,0.9217687866511265,0.41448436789439763,0.27058811503548774,0.9671936568679602,0.4801912641191816,0.8316737612088522,0.6934136491156643,0.5611487028255088,0.8267088234424591,0.6875275572141012,0.9825901662436015,0.9000881118211521,0.8222192127206732,0.9869086371527017,0.7027411659558614,,,,,,,,
