epoch,train_acc,train_d21_acc,train_d21_f1,train_d21_iou,train_f1,train_iou,train_loss,train_prec,train_rec,val_acc,val_d21_acc,val_d21_f1,val_d21_iou,val_f1,val_iou,val_loss,val_prec,val_rec
1,0.6719774007797241,0.9875960635542337,0.04193892015420361,0.023408465115711347,0.08790484815835953,0.054277803748846054,1.6046019861003562,0.24689310789108276,0.06832204759120941,0.6672034859657288,0.9874306536735372,0.0,0.0,0.05178960785269737,0.03490160033106804,1.2477700038159147,0.22278226912021637,0.04639332741498947
2,0.6878058910369873,0.9874590480828307,0.10612199949604131,0.061765511088461095,0.14754007756710052,0.0886748805642128,1.4701100303138124,0.3306814432144165,0.10891798138618469,0.6603334546089172,0.9874306536735372,0.0,0.0,0.025442905724048615,0.020702265202999115,1.6896198734324028,0.06229915842413902,0.03100866638123989
3,0.6913112998008728,0.9874657024966488,0.11963360245860485,0.07116638601593626,0.1657583862543106,0.09924595803022385,1.4408378218358069,0.35259756445884705,0.12075070291757584,0.6740341782569885,0.9874267578125,0.0,0.0,0.08633462339639664,0.053371280431747437,1.4907676970705073,0.373755544424057,0.06527680903673172
4,0.693417489528656,0.9874643934316354,0.13080107476475497,0.0782495616584387,0.1756438910961151,0.10511117428541183,1.426159879637148,0.36723360419273376,0.12725156545639038,0.667380690574646,0.9874306536735372,0.0,0.0,0.05440917983651161,0.03626919165253639,1.3123758283067257,0.3277646005153656,0.04750366136431694
5,0.6946578025817871,0.9875461554505977,0.1385936038257164,0.08390334389780892,0.18124796450138092,0.10842978954315186,1.4163054598560283,0.37683746218681335,0.1308094710111618,0.6805275678634644,0.9873787088597075,0.011622288934404026,0.006486104999450927,0.12092442065477371,0.07370199263095856,1.4454398472258385,0.3601914942264557,0.09242057800292969
6,0.696017324924469,0.9875902818504245,0.1489419871978064,0.09133828312559744,0.18834826350212097,0.1126708909869194,1.4078652400380272,0.38502100110054016,0.13564889132976532,0.6682207584381104,0.9874306536735372,0.0,0.0,0.05592429265379906,0.03698825091123581,1.1539762197656835,0.34671932458877563,0.047695040702819824
7,0.6968579888343811,0.987664844011813,0.14718413196277277,0.09005616348460684,0.19092872738838196,0.1142573282122612,1.4021194486132256,0.39283519983291626,0.13716009259223938,0.6726481318473816,0.9874306536735372,0.0,0.0,0.07220415025949478,0.0464971698820591,1.3830316637424713,0.2948172688484192,0.0584709458053112
8,0.6980515122413635,0.9877322063156277,0.1581728931530284,0.09776206599828105,0.19542643427848816,0.11698774248361588,1.3950699789913985,0.4026612341403961,0.1399674415588379,0.6632933020591736,0.9874176674700798,0.0,0.0,0.03711400181055069,0.02680615335702896,1.8701156479247072,0.3352089524269104,0.037203818559646606
9,0.6985469460487366,0.9877835325730284,0.1613958067099508,0.10018270441569833,0.1977674961090088,0.1184232160449028,1.3896248085462588,0.40617966651916504,0.14158719778060913,0.6686198115348816,0.9874306536735372,0.0,0.0,0.06728090345859528,0.04284064844250679,2.0859166548607195,0.3815140128135681,0.05412530153989792
10,0.699134111404419,0.9878621310182082,0.16138674191040006,0.09999485874579349,0.2002161145210266,0.11994414031505585,1.38621033441818,0.41403934359550476,0.14296118915081024,0.6616499423980713,0.9874306536735372,0.0,0.0,0.03335997834801674,0.024828927591443062,1.6829055344804804,0.2913195788860321,0.03522254899144173
11,0.6999799013137817,0.98787500349084,0.16611282422509163,0.10375167011454788,0.2025817334651947,0.12140253931283951,1.382594353764903,0.4151591658592224,0.14477166533470154,0.6605710387229919,0.9874306536735372,0.0,0.0,0.026296300813555717,0.02112727425992489,1.4474284369894799,0.18496903777122498,0.03142206370830536
12,0.700263500213623,0.9878757125677223,0.16286116084609542,0.10193248181995021,0.2041347473859787,0.1223330944776535,1.3808399629816612,0.42161890864372253,0.1454862803220749,0.6599659323692322,0.9874306536735372,0.0,0.0,0.02424456924200058,0.02007460966706276,1.8029343473150374,0.02956990711390972,0.030377505347132683
13,0.7002630829811096,0.9878971485073168,0.1654590408045399,0.10445596033231196,0.2043164074420929,0.12247597426176071,1.3786355705001292,0.42549291253089905,0.14549273252487183,0.6699534058570862,0.9874306536735372,0.0,0.0,0.058820538222789764,0.03924832120537758,1.2473646275540615,0.299238920211792,0.05129681155085564
14,0.7011048793792725,0.9879928193420465,0.1694259894883016,0.1068347812978962,0.20694519579410553,0.12411672621965408,1.375751560239306,0.4285692274570465,0.14724427461624146,0.6663030982017517,0.9874306536735372,0.0,0.0,0.050639450550079346,0.03402044251561165,1.510601652429459,0.3580637276172638,0.044726353138685226
15,0.702007532119751,0.9880032373177782,0.17113510155616385,0.10818654368048945,0.20980432629585266,0.12591631710529327,1.3721591544481555,0.4340190589427948,0.14917077124118805,0.6770071983337402,0.9874293550531915,0.0,0.0,0.09971293807029724,0.061300553381443024,2.185373289788023,0.426011323928833,0.07521554827690125
16,0.7012221813201904,0.9879737833549765,0.16573916607980746,0.10438706392673668,0.20672793686389923,0.12397497892379761,1.3734593666537305,0.4465031027793884,0.14690199494361877,0.693749189376831,0.9874306536735372,0.00038164298559594943,0.00019254838611851348,0.1550028920173645,0.09471993893384933,1.133915031209905,0.4246048033237457,0.11439061909914017
17,0.7015292644500732,0.9879798923250391,0.16862342363843422,0.10584071551685133,0.20749874413013458,0.12443117797374725,1.372101735093958,0.45292893052101135,0.14750953018665314,0.6931021213531494,0.9873916950631649,0.0015267004223689096,0.00077292763013789,0.14663547277450562,0.09188030660152435,2.025235356168544,0.36815497279167175,0.11911024153232574
18,0.7018569111824036,0.9880608361783679,0.17659363508675213,0.11249207923587468,0.20932865142822266,0.12558570504188538,1.3689190617781648,0.45240986347198486,0.1485738605260849,0.6710743308067322,0.9874306536735372,0.0,0.0,0.06896255910396576,0.04410847648978233,1.4412372289819921,0.33821794390678406,0.055636025965213776
