scope,row_i,sample_name,jaw,path,model_count,score_composite_mean_across_models,score_composite_std_across_models,score_composite,d21_f1,d21_iou,f1_macro,iou_macro,acc_no_bg,models_available,selection_type,rank_metric,rank_metric_value,target_value,group_mean,group_median
GLOBAL_MEAN_ACROSS_MODELS,91,01MAVT6A,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/01MAVT6A,4,0.9757940543114525,0.014423578441995172,0.9757940543114525,0.9864362163859272,0.9735940652652957,0.9759655921787065,0.9543381922952491,0.9755799755799757,"PointNet,PointNetPP,DGCNN,PointNetTransformer",best,score_composite,0.9757940543114525,0.9757940543114525,0.9000003121669511,0.927618271372348
GLOBAL_MEAN_ACROSS_MODELS,71,3EU06ZN9,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/3EU06ZN9,4,0.31210786822202363,0.05644890884384941,0.31210786822202363,0.26262006060563203,0.15684858828155876,0.4007660699422414,0.3224252817345892,0.44688644688644685,"PointNet,PointNetPP,DGCNN,PointNetTransformer",worst,score_composite,0.31210786822202363,0.31210786822202363,0.9000003121669511,0.927618271372348
GLOBAL_MEAN_ACROSS_MODELS,46,WQOGLZY4,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/WQOGLZY4,4,0.9002082413830554,0.09569682382180882,0.9002082413830554,0.9262643794506539,0.8708311761902161,0.9050110707853167,0.8432931358455977,0.8936202686202686,"PointNet,PointNetPP,DGCNN,PointNetTransformer",closest_to_mean,score_composite,0.9002082413830554,0.9000003121669511,0.9000003121669511,0.927618271372348
GLOBAL_MEAN_ACROSS_MODELS,89,015RHV4X,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/015RHV4X,4,0.927618271372348,0.032065405440930214,0.927618271372348,0.9582785742182086,0.9205237852728564,0.9211814114265542,0.8727345256264203,0.938949938949939,"PointNet,PointNetPP,DGCNN,PointNetTransformer",closest_to_median,score_composite,0.927618271372348,0.927618271372348,0.9000003121669511,0.927618271372348
