epoch,split,loss,acc_all,acc_no_bg,f1_macro,iou_macro,d21_acc,d21_f1,d21_iou,d21_bin_acc_all,pred_bg_frac,lr,sec
1,train,2.4064379888668395,0.39021188836348686,0.20542557077449664,0.2110138640542867,0.12397397759132647,0.8853895549815718,0.27187307043786707,0.16358449365108263,0.9374332896448686,0.40378343013294954,0.00019996590383506793,8.986289501190186
1,val,1.7273107369740803,0.7406485428412756,0.5546713123718897,0.4836466297846183,0.3506829606224424,0.9454902901323431,0.6688682812584061,0.5126543196294361,0.9826462155295173,0.6452297071615855,0.00019996590383506793,8.986289501190186
2,train,2.222799210799368,0.49888064735814147,0.26792262362544994,0.3067963408948871,0.18926431305336705,0.9147713861365622,0.3612801200304512,0.23031238612352528,0.9620200173895206,0.5083262125651041,0.0001998636387080801,6.171806335449219
2,val,0.9909053792556127,0.6065708349148432,0.7247894406318665,0.7097082862103417,0.5632498098096077,0.9767326588746856,0.858359938907669,0.7589633884925263,0.9689123971120156,0.4729456255833308,0.0001998636387080801,6.171806335449219
3,train,2.1819900696737724,0.5202393648917215,0.2786009524148284,0.3239025121801995,0.20358440693268573,0.920243131739882,0.3756333336878533,0.24327262920002213,0.9674808970667401,0.5299566971628289,0.00019969327470644626,6.183939218521118
3,val,2.01513934135437,0.2965707331895828,0.4766705259680748,0.4416681812783796,0.3002412691116391,0.9329790249425182,0.38585913958758833,0.24349758732560903,0.986231486002452,0.21126502007246017,0.00019969327470644626,6.183939218521118
4,train,2.159763787922106,0.5454262716728344,0.28233927471334475,0.33401907841710454,0.21182988547540904,0.9220365346611037,0.38249613392547155,0.24967115077785806,0.968880957887738,0.5592086524294134,0.0001994549285891432,6.196183443069458
4,val,1.0517120560010274,0.8774363249540329,0.6348396191994349,0.656640401946118,0.5068646785296937,0.9706748938883544,0.8069495017419478,0.6808927825766969,0.9912149338493634,0.7835613439480463,0.0001994549285891432,6.196183443069458
5,train,2.1276000746509487,0.5480372914096765,0.2903418388805891,0.34379413362363653,0.22009523007793896,0.9244920731818028,0.38917721051813814,0.2554725871834219,0.971625933730665,0.5588035181949013,0.00019914876370669414,6.2085349559783936
5,val,0.7834978277484576,0.7659699618816376,0.718475287159284,0.7201187652118534,0.5717444014031495,0.9556387726022458,0.72512139246211,0.5763487587297946,0.97664569673069,0.6343076825141907,0.00019914876370669414,6.2085349559783936
6,train,2.115431865056356,0.5635511431777687,0.2910022293462565,0.3476275483605666,0.22288187175479288,0.9259922190491154,0.395198436692611,0.2602513535603289,0.973428130567973,0.5762308756510417,0.0001987749898892162,6.214373588562012
6,val,2.2292709946632385,0.29741668701171875,0.4217386742432912,0.3679437345581948,0.24662240289315332,0.9576170247293058,0.7245638711589201,0.5721606539364189,0.9837263198124412,0.22481228162844977,0.0001987749898892162,6.214373588562012
7,train,2.0967437848710175,0.5511740165844298,0.29670129047804755,0.35159367655356316,0.22605961929001991,0.9264816038868698,0.3998550341954043,0.2641890622366577,0.9737791897956319,0.5587688245271382,0.00019833386330261348,6.198594570159912
7,val,1.444156030813853,0.7175425589084625,0.6136616667111715,0.6094208096314697,0.46093961618299306,0.9738061927041747,0.8455036567753105,0.733051635342909,0.9884047735303533,0.6097924411296844,0.00019833386330261348,6.198594570159912
8,train,2.085383489675689,0.5630788702713816,0.29903254630861054,0.3568289400964844,0.23016926253653863,0.9272799469157883,0.40515615684152395,0.2688119765830949,0.9741486666493874,0.5727949711314418,0.00019782568627301365,6.211350917816162
8,val,2.226960688829422,0.8171386768420538,0.18423843143197396,0.26302329417633713,0.16268921038017534,0.9243315381700388,0.2172856489194532,0.12590132567950374,0.9859352111814883,0.9145629554986954,0.00019782568627301365,6.211350917816162
9,train,2.0689316385670713,0.5440607439007675,0.30272437735999885,0.35891123045682327,0.23064177410506254,0.9271120031450889,0.4037800662052192,0.26622515403079366,0.974450094657885,0.5477582964980812,0.00019725080707956878,6.219503879547119
9,val,1.8346689939498901,0.4520241891344388,0.612602616349856,0.5925424053981528,0.4406671054683398,0.9655538960590276,0.7920396993236297,0.6592985017030158,0.9754348028272305,0.344081516067187,0.00019725080707956878,6.219503879547119
10,train,2.0677658139613637,0.5751782869037829,0.30001717854879406,0.36132475100289646,0.2335888669547777,0.9276689944226311,0.40518915353654616,0.26853412379178015,0.974812236584968,0.5866028367427357,0.00019660961971576226,6.231695652008057
10,val,0.8287987088163694,0.7880641420682272,0.7406628082195917,0.7402945939965083,0.5946602717649441,0.9644327068426014,0.7786595334448574,0.6396395639208338,0.9787325177872374,0.6537684500217438,0.00019660961971576226,6.231695652008057
11,train,2.0544834626348396,0.565242566560444,0.30618743411543076,0.36686116394698254,0.23709785785229173,0.9283708355129427,0.410977192494115,0.27245387341895133,0.9754410057735642,0.5723691170675713,0.00019590256361938518,6.239930629730225
11,val,1.6909080942471821,0.6801131119330724,0.5553939267992973,0.5630980087802157,0.4080733512654949,0.9562466688946655,0.6900508447729358,0.5346188010595967,0.9872500101723736,0.604112354417642,0.00019590256361938518,6.239930629730225
12,train,2.053259285291036,0.5598109195106908,0.3051367629744243,0.36353018597924536,0.23573431978317846,0.9284925658665021,0.40579804370884814,0.2693112996303232,0.975867073995878,0.5650063497978345,0.00019513012337136777,6.250091791152954
12,val,0.5499559342861176,0.7566019743680954,0.8123759776353836,0.8069010397623081,0.6836909753606296,0.9844355655359193,0.9022985868212648,0.823163570568694,0.9898794265018934,0.6064934531847636,0.00019513012337136777,6.250091791152954
13,train,2.036931530634562,0.5806936699047424,0.3062036000584301,0.36958817254640697,0.23998904961423553,0.9297112082192299,0.41425447514138275,0.27691755624764125,0.9768028393124892,0.5907242624383223,0.00019429282836367175,6.2749152183532715
13,val,0.819829615453879,0.7259150942166647,0.7489138394594193,0.7397164371197532,0.6006417304209828,0.9785464755694533,0.871814949461258,0.7745181820202146,0.9828133356002019,0.5883556554714838,0.00019429282836367175,6.2749152183532715
14,train,2.046860662677832,0.5607873213918586,0.30673848804282516,0.3652522644843199,0.23743842534369633,0.9289377748392806,0.41012104133032984,0.2739829160833768,0.9761494419029499,0.5658167253460801,0.00019339125243647155,6.289550065994263
14,val,0.5688295389215151,0.8244133045276006,0.8098865002393723,0.8103584070690687,0.688191813695289,0.9849748410751943,0.9056946141706019,0.8290755176331884,0.9903633480978754,0.6761122246583303,0.00019339125243647155,6.289550065994263
15,train,2.0298387563019467,0.5739408258806196,0.3099876155978755,0.3706977350991989,0.24292403150378683,0.9302411069383496,0.41383756648641545,0.278259433356655,0.9774024829528405,0.5808878045333059,0.000192426013484873,6.303860902786255
15,val,0.6917110433181127,0.76798648138841,0.8079510678847631,0.8026601401143388,0.6811171899494797,0.9797897649079795,0.8744277055308997,0.7777896351943278,0.9864142281667004,0.6195371747016907,0.000192426013484873,6.303860902786255
16,train,2.0226531041295903,0.5690301727830318,0.31164087021494646,0.3731304758263628,0.24302574643096436,0.9303496786321344,0.41693784466092926,0.278427229329825,0.9775705437909704,0.5739353113007127,0.00019139777303543875,6.312816381454468
16,val,0.8055083006620407,0.7315913637479147,0.7845808317263921,0.7851728873314117,0.6551888763128101,0.9845471272546237,0.9056817112004363,0.8295426735454209,0.9855804443357852,0.5875505755345026,0.00019139777303543875,6.312816381454468
17,train,2.027380251047904,0.5897124708744518,0.3076276816623776,0.3700653151668241,0.2416469465397129,0.9302334208529699,0.41392945403791687,0.2771000698631677,0.977565350448728,0.6005072878118147,0.0001903072357928111,6.318919897079468
17,val,0.5939054389794668,0.7835519015789032,0.8007174779971441,0.7959783948910072,0.6672435230137549,0.9806605156299203,0.8837940145193733,0.7926560954597539,0.9824876331146175,0.6365590790907542,0.0001903072357928111,6.318919897079468
18,train,2.0209640281242236,0.5897449158785636,0.3097690499011885,0.37572763441350726,0.24489487800841248,0.9313528275300198,0.4181165497309335,0.2790255008323316,0.9784587659332403,0.6004218921326754,0.00018915514915674255,6.324054002761841
18,val,0.6659261733293533,0.7765820870796839,0.8068800220886866,0.8075566666687023,0.6864696200912571,0.9823330329274361,0.8923716907994804,0.8074469905124034,0.989069257463575,0.6280575742324194,0.00018915514915674255,6.324054002761841
19,train,2.018441723522387,0.5897963674444902,0.31052372146463186,0.3751948469176852,0.24478538052058346,0.9313441698459235,0.41889248724061806,0.2814704663756738,0.9785801402308003,0.5998093454461348,0.00018794230270986553,6.320909261703491
19,val,0.6812173053622246,0.827420194943746,0.7913509607315063,0.7909063463015437,0.6652679898362279,0.9846564480484682,0.9068574173389049,0.832232897165341,0.9820460364930589,0.6841913908720016,0.00018794230270986553,6.320909261703491
20,train,2.020276535393899,0.5893444931297972,0.3075704644254425,0.37160495908989366,0.24345412190272897,0.9300093513181233,0.4118508626558154,0.2769885092670739,0.9772756476149835,0.5998555501302083,0.00018666952767655164,6.323277473449707
20,val,0.6882159809271494,0.6833554257949194,0.8096225510040919,0.80488498925999,0.6823498888339441,0.97790448087984,0.8745111010081955,0.7796130425587423,0.9829433986117344,0.5338487178087234,0.00018666952767655164,6.323277473449707
21,train,2.003257297214709,0.5876999169065241,0.3120038392463405,0.37927617728605106,0.24701132958442443,0.9318280362069832,0.4178946889450313,0.27862472484696316,0.979352877432692,0.5962273848684211,0.00018533769635323215,6.323642015457153
21,val,0.6300129170219103,0.8433678050835928,0.7860325773557028,0.7882950547608503,0.6578764432634576,0.973837626217751,0.826775060876729,0.7067050084119048,0.9901540847050182,0.7015963991483053,0.00018533769635323215,6.323642015457153
22,train,2.0013534257286474,0.5883653071888706,0.31335659214344463,0.38002002257921313,0.24743807340143387,0.9319911270843596,0.4186846927893905,0.27900615256245365,0.9794807300231521,0.5967500385485197,0.00018394772151056967,6.331672430038452
22,val,0.7352561404307684,0.7863965729872385,0.779426688949267,0.7719268059313235,0.638706554927403,0.9734334118254419,0.8497953307988485,0.7395647730441578,0.9838149661108044,0.6433853904406229,0.00018394772151056967,6.331672430038452
23,train,2.0041836035879035,0.6044359709087171,0.3095617303690105,0.3775161067085646,0.2475869183518073,0.9322121262652581,0.4182933235420849,0.2812933410134904,0.9794090940239745,0.617819535104852,0.00018250055576789055,6.364020586013794
23,val,1.6830949982007344,0.6871376037597656,0.6241439332564672,0.6112050929905003,0.4569786726485156,0.9553555075868388,0.719352901653249,0.5671277504083849,0.9853539239791074,0.5824475983778635,0.00018250055576789055,6.364020586013794
24,train,1.9892944666377286,0.6160843163205866,0.3104237792065792,0.3804249584140268,0.24999247697513513,0.9324732262068071,0.42041048468865405,0.282373894057675,0.9798799749004818,0.6317028915672972,0.00018099719094030725,6.338685512542725
24,val,2.042416036128998,0.4723452627658844,0.3400739828745524,0.3829510687665578,0.24977815187992516,0.9349257224249281,0.42169850127112785,0.273147967187349,0.9828342256090373,0.4373566769063473,0.00018099719094030725,6.338685512542725
25,train,1.9989845464104101,0.6011830112390351,0.31349867581014046,0.3812617036032436,0.2502448830475902,0.9323546325105206,0.42203957566073996,0.2838910605648599,0.9797055428486731,0.6124264365748355,0.00017943865735897788,6.343569993972778
25,val,0.5957287500301996,0.9020418475071589,0.8118809858957926,0.825933525334091,0.7102536214912297,0.9743068879965359,0.8469037120602932,0.7396257808233543,0.9902421860466291,0.7601723472277323,0.00017943865735897788,6.343569993972778
26,train,1.9870359719845287,0.5972530431914748,0.3163567295902523,0.3859770438244556,0.254388957805012,0.9333536833529301,0.4248632295836173,0.2863638368857213,0.9806481076958494,0.6065690960800438,0.0001778260231649686,6.349219083786011
26,val,0.5789563780029615,0.8155194272597631,0.816409707069397,0.819022660732812,0.7022247316655831,0.9875437888822352,0.9276206723731425,0.8665090845781857,0.9870932442799815,0.6672223458687464,0.0001778260231649686,6.349219083786011
27,train,1.9902840585039372,0.622955750582511,0.3102045636231962,0.38080597918502285,0.251310784337735,0.9325771235162191,0.41871375518528,0.2823927118485093,0.9800792493316771,0.640490294339364,0.00017616039357720308,6.362567901611328
27,val,1.7934022446473439,0.5516866073012352,0.598371056218942,0.5972351037532347,0.44164320670870905,0.9597337902389272,0.7647408529121695,0.6239693623761617,0.9714791434150287,0.45758601774772006,0.00017616039357720308,6.362567901611328
28,train,1.9898689324395697,0.5875963177597313,0.3190689837167922,0.38486788330449123,0.25406178979673644,0.9331907556837354,0.42365916439321305,0.28548485619165004,0.9804091068734812,0.5945192035875823,0.00017444291013500072,6.416540622711182
28,val,0.5664766033490499,0.8495365331570307,0.8082198550303777,0.808161494656528,0.6882818369612994,0.9870684099842376,0.923286525709083,0.8591109988066653,0.9898977733792185,0.702831635872523,0.00017444291013500072,6.416540622711182
29,train,1.9813326254225614,0.6019633510656525,0.31574586468111526,0.384293872971829,0.253500994442867,0.9328369509439676,0.4204713326361062,0.2835541929343408,0.9803135386682998,0.6123063472279331,0.0001726747499157226,6.409748315811157
29,val,0.7193316891789436,0.9007984399795532,0.7826827615499496,0.801202822022856,0.6803160087250631,0.9870947559927266,0.9244769061772011,0.8608471284808603,0.992418743315044,0.7670131872097651,0.0001726747499157226,6.409748315811157
30,train,1.9863973987729926,0.5991920337342379,0.31682567485657176,0.3863139812809339,0.2547360021210022,0.9329568605062302,0.4234028001152644,0.28561756287487894,0.9803670247394347,0.6094221148574561,0.0001708571247280615,6.435114860534668
30,val,0.6231667349735895,0.8450163006782532,0.8007965783278147,0.8014340930284568,0.6816207567213745,0.9875130215895632,0.9258613826663624,0.8632174192072753,0.9864992414200483,0.699969157576561,0.0001708571247280615,6.435114860534668
31,train,1.9783872842788697,0.606384063185307,0.31812607247970603,0.3895042962371669,0.2570410541083365,0.9333675687991458,0.42560322416471535,0.28652802515489784,0.9804960552013317,0.6173124614514802,0.00016899128028152852,6.45291543006897
31,val,0.5308835456768671,0.8061705132325491,0.8503824373086294,0.8561059554110848,0.75579413121944,0.9871774885159349,0.9208444173088131,0.8561849209889951,0.9876872471399145,0.6523477484782537,0.00016899128028152852,6.45291543006897
32,train,1.9646409802269518,0.6063107139185855,0.32020982191489455,0.3913681863378466,0.25874443144470766,0.9340930189732158,0.4263737548614908,0.2867485215813242,0.9816264370030034,0.6164287366365132,0.00016707849533270639,6.466714143753052
32,val,0.814686710635821,0.9093493521213531,0.7772625138362249,0.8029402696483138,0.6795421397043137,0.9698073531398622,0.78545196677786,0.6491982087691418,0.993271055675535,0.7819856951634089,0.00016707849533270639,6.466714143753052
