epoch,split,loss,acc_all,acc_no_bg,acc_macro,prec_macro,rec_macro,f1_macro,iou_macro,d21_cls_acc,d21_cls_f1,d21_cls_iou,d21_bin_acc_all,d21_bin_f1,d21_bin_iou,sec
1,train,2.3618763158195897,0.04445581268845943,0.22790868779803772,0.21616807579994202,0.21789148449897766,0.21616807579994202,0.21109282970428467,0.1276872158050537,0.23579043327987473,0.27066296033779474,0.15651255931391414,0.9346346135723644,0.10834361225032137,0.05841367762817283,11.071007251739502
1,val,1.96381413936615,0.07266138980263158,0.3923021423021423,0.4097976088523865,0.5534173250198364,0.4097976088523865,0.3793085515499115,0.24058061838150024,0.28449618758687834,0.4049244372280903,0.2538590972271169,0.982553391229387,0.3322708296837712,0.20411338166913703,11.071007251739502
2,train,2.1744423966658744,0.053437296549479166,0.2809285126020949,0.2870614528656006,0.28915587067604065,0.2870614528656006,0.2796688973903656,0.1628294140100479,0.3085393486865088,0.33413472139478256,0.20057728055664084,0.9236006887334121,0.11983222773896046,0.06464895041648427,10.433385133743286
2,val,1.532539039850235,0.09657817639802632,0.5214299589299589,0.5422137975692749,0.5581378936767578,0.5422137975692749,0.5126063823699951,0.36718350648880005,0.4466672132487934,0.5958331010417423,0.4243321130925895,0.9867795308429467,0.5110900819378471,0.34657451138353185,10.433385133743286
3,train,2.1307441790898642,0.055745067931058115,0.29306084008711947,0.29829373955726624,0.29914796352386475,0.29829373955726624,0.29152053594589233,0.17088937759399414,0.3290900565004991,0.33801730055201945,0.20338196461177316,0.9177916945071233,0.12343654604213723,0.0668441640105203,10.444646835327148
3,val,2.156478226184845,0.06400981702302631,0.3455919080919081,0.3695017397403717,0.43162307143211365,0.3695017397403717,0.3134867548942566,0.20261257886886597,0.22505534147722794,0.24884416149567182,0.14210281099542263,0.8620868864512247,0.0681195009559582,0.036098636003330416,10.444646835327148
4,train,2.1050218812206336,0.057130512438322366,0.30034434598749954,0.3051055669784546,0.30593574047088623,0.3051055669784546,0.2989630103111267,0.1759520322084427,0.3417575823159522,0.3365702849708814,0.20233514403419617,0.914703797457371,0.1289863231922367,0.0703599470513012,10.542711973190308
4,val,0.8026671012242635,0.13424008018092104,0.7247682872682872,0.7406593561172485,0.7289373874664307,0.7406593561172485,0.7290568351745605,0.5840653777122498,0.8320898581611608,0.8323628261319349,0.7128608555168133,0.952884310767617,0.35900639895637315,0.21935981177120442,10.542711973190308
5,train,2.084858430895889,0.058326426723547146,0.30663146084999476,0.3104586601257324,0.31003785133361816,0.3104586601257324,0.3048246204853058,0.1800634264945984,0.3355500683711806,0.34702587264281703,0.20994029667015018,0.922201645165018,0.1323247790638383,0.07244657734365753,10.496781349182129
5,val,0.6812448228398958,0.143896484375,0.7769036519036518,0.7732045650482178,0.7752591371536255,0.7732045650482178,0.7716478109359741,0.6310884356498718,0.9080921538075689,0.8373780852995888,0.7202497073737025,0.901932852608678,0.2365767258182275,0.1354495439639781,10.496781349182129
6,train,2.0723476443374365,0.058284826445997806,0.30641276146117086,0.3106566071510315,0.3156173527240753,0.3106566071510315,0.30591481924057007,0.1808750033378601,0.3400163303853269,0.34393553921946823,0.2076824624900062,0.9176883630583849,0.12438347656903098,0.0674696389299265,10.53132176399231
6,val,0.6634900470574697,0.13977436266447368,0.7546481296481297,0.7742725610733032,0.7656564712524414,0.7742725610733032,0.7580865621566772,0.615614652633667,0.8002787570707548,0.8572055803411364,0.750096057787789,0.943138304210699,0.31582622822353806,0.18981284297557474,10.53132176399231
7,train,2.058591721768965,0.05934228729783443,0.3119720042264994,0.315452516078949,0.32402709126472473,0.315452516078949,0.31177759170532227,0.1849953532218933,0.3435972100618671,0.35039769158879563,0.21241343799159493,0.9222756904466796,0.13366369219871455,0.07287216796424789,10.552302598953247
7,val,0.6760252589980761,0.13889674136513158,0.7499098124098124,0.7607560157775879,0.7571335434913635,0.7607560157775879,0.750662088394165,0.6076032519340515,0.8975977699426927,0.8953954313287327,0.8106026950978745,0.970028468540587,0.48311278210639724,0.3199930087495619,10.552302598953247
8,train,2.0550583759943644,0.059331472296463815,0.3119151480147331,0.3165637254714966,0.33112913370132446,0.3165637254714966,0.31321287155151367,0.18608123064041138,0.343839870406248,0.3492913687318557,0.21160086533260794,0.9228216338574534,0.13785934911955527,0.0756628126862954,10.582236766815186
8,val,0.592286559442679,0.1488024259868421,0.8033910533910534,0.8011932373046875,0.8105207085609436,0.8011932373046875,0.8019589185714722,0.670772135257721,0.8720996966460013,0.8591389983119361,0.7530619469021217,0.9594532194590224,0.41069397142623415,0.2610697730068901,10.582236766815186
9,train,2.059210018944322,0.05907116270901864,0.3105466584028133,0.3150293827056885,0.32660579681396484,0.3150293827056885,0.3115226626396179,0.18485808372497559,0.34089515433524703,0.3518140249927484,0.21345529957701503,0.9242149486874962,0.13734463297483926,0.07520624722226484,10.615244626998901
9,val,0.9611431310574213,0.13137335526315788,0.7092907092907093,0.7223829030990601,0.7187310457229614,0.7223829030990601,0.7099924087524414,0.5533439517021179,0.7156677871601904,0.7551038012429027,0.6065596553397217,0.9669145856583329,0.4064814501860716,0.257356778523466,10.615244626998901
10,train,2.03889422416687,0.05971096105742873,0.31391018182166175,0.31842201948165894,0.33445826172828674,0.31842201948165894,0.3156053423881531,0.18775779008865356,0.33963922309338357,0.3583497193522127,0.21828627549331767,0.9274296275354952,0.13851593511041546,0.07597630586246265,10.646309614181519
10,val,0.8977977285782496,0.14330283717105263,0.7736985236985237,0.7838664054870605,0.7837652564048767,0.7838664054870605,0.7774518728256226,0.6415565609931946,0.8970238583250824,0.9036547544461508,0.8242428808190264,0.959200722830488,0.4099019262907689,0.25941331759436215,10.646309614181519
11,train,2.0407083109805457,0.060153412400630484,0.3162362201089725,0.3206856846809387,0.33981853723526,0.3206856846809387,0.31859928369522095,0.18996180593967438,0.33992123376388034,0.36395554511890427,0.22246067343390727,0.9296730443049579,0.14781247515454693,0.08177141590666909,10.668044805526733
11,val,0.63664610683918,0.14164653577302633,0.7647560772560773,0.7772855758666992,0.7581748962402344,0.7772855758666992,0.7628072500228882,0.6193339824676514,0.8426662293999814,0.8561076123426107,0.7484162236942049,0.9573413303918722,0.38592172063616514,0.2409487324133398,10.668044805526733
12,train,2.038888354887042,0.06045939127604167,0.3178448005557272,0.32093545794487,0.34384965896606445,0.32093545794487,0.3208658695220947,0.19155113399028778,0.33900961787553036,0.356524687957296,0.21693340411825102,0.9263270863314087,0.14008966976951306,0.07684729244718103,10.680680513381958
12,val,0.5280832822124163,0.1508557771381579,0.8144771894771895,0.8159051537513733,0.8102819919586182,0.8159051537513733,0.8114542961120605,0.6852445006370544,0.8379109617112094,0.8897013966027271,0.8013172338083727,0.9716420854839459,0.4800727707177574,0.31777610105529036,10.680680513381958
13,train,2.038179988819256,0.06024881998697917,0.3167377932246535,0.32051217555999756,0.3442145884037018,0.32051217555999756,0.3202820420265198,0.19117096066474915,0.33887517092796793,0.3590797534560892,0.21882828265716417,0.9268716912519149,0.14230145231052205,0.07837676596674668,10.694055557250977
13,val,1.4451910257339478,0.14063656455592105,0.7593031968031968,0.7657604217529297,0.7673195600509644,0.7657604217529297,0.7584078311920166,0.613864541053772,0.91547101746256,0.852008693661354,0.7421734795608227,0.8448658897761905,0.17262478650915258,0.09559241184855533,10.694055557250977
14,train,2.0259872547367164,0.060763763963130484,0.3194449370106355,0.32279956340789795,0.34911537170410156,0.32279956340789795,0.3232572674751282,0.19332149624824524,0.33997042167152514,0.3636143586245059,0.22220579031745963,0.928205577114031,0.14080757805100713,0.0772017654458983,10.690507650375366
14,val,1.3593384226163228,0.1265637849506579,0.6833236208236209,0.682502031326294,0.6827043294906616,0.682502031326294,0.6721062660217285,0.5133491158485413,0.7427236205618244,0.7220052552248822,0.5649516682254038,0.8825184050059095,0.18152428876894933,0.10067410817028964,10.690507650375366
15,train,2.0188875750491495,0.06131688168174342,0.32235276633616883,0.3260009288787842,0.3556138873100281,0.3260009288787842,0.32690179347991943,0.19596067070960999,0.3357533783894457,0.3719692461716449,0.2284780255949607,0.9351150780391938,0.1537109194210223,0.08537921951818317,10.703175783157349
15,val,1.961730072895686,0.11319644325657895,0.6111527361527361,0.6073688864707947,0.6565618515014648,0.6073688864707947,0.6084601283073425,0.44434845447540283,0.5575141428215483,0.6380483178811205,0.46848088184604303,0.9711042131694928,0.39823069448969267,0.25453455405284314,10.703175783157349
16,train,2.0276441599193373,0.061273139819764254,0.32212280829154966,0.3248106837272644,0.344102680683136,0.3248106837272644,0.3244072198867798,0.19404193758964539,0.33838657104536307,0.3663356796769806,0.2242417130613491,0.9327075623627968,0.1489656737310699,0.08262307158262615,10.708003997802734
16,val,0.6245361293355624,0.14632504111842104,0.79001554001554,0.8025220036506653,0.7980127334594727,0.8025220036506653,0.792569637298584,0.6615762710571289,0.9373616463057002,0.9128872514702621,0.8397355857503931,0.9564899262926353,0.40298154933490477,0.25351565342145355,10.708003997802734
17,train,2.0206894916400575,0.06089504308867873,0.3201350926108879,0.32365891337394714,0.34611767530441284,0.32365891337394714,0.3230079710483551,0.19310246407985687,0.3421510855771105,0.36038026977219134,0.21979503491568161,0.9276115015931984,0.14058231764376622,0.07712335762601444,10.710416316986084
17,val,1.3461359689633052,0.13425678453947368,0.7248584748584749,0.7251380085945129,0.7301738262176514,0.7251380085945129,0.7214341163635254,0.5722072124481201,0.8546363859958558,0.8264488969313676,0.7042291582213861,0.8723733084541067,0.18335631206932834,0.1015057931393679,10.710416316986084
18,train,2.0082757544099237,0.06142385382401316,0.3229151361931445,0.3267110586166382,0.36054688692092896,0.3267110586166382,0.3289720118045807,0.1974886804819107,0.33580912468477647,0.37794257995855857,0.23300197721537466,0.9375090481940735,0.15444385677525582,0.08544892280173945,10.719480752944946
18,val,0.5082445045312246,0.1542467619243421,0.8327852702852703,0.8318408131599426,0.827784538269043,0.8318408131599426,0.8286786675453186,0.7094488739967346,0.9299007952767648,0.9036010147610871,0.8241534660653799,0.9511651538665756,0.3736648231628379,0.2302559351030005,10.719480752944946
