model,n_cases,rank_metric,mean,median,std,min,max,p25,p75
DGCNN,89,score_composite,0.9254967604366813,0.9658982413623338,0.12194903089275141,0.22760422148696335,0.9953690119158789,0.9424619368151017,0.9761511515389851
PointNet,89,score_composite,0.8870023355552981,0.9258242146571216,0.11138025713027974,0.30596106093031117,0.9827007761935987,0.8752437493737709,0.9535642762819024
PointNetPP,89,score_composite,0.9301805225784151,0.9573648959328411,0.08709079901234773,0.3844378659214346,0.9907267251045142,0.9434233792226256,0.965529564431296
PointNetTransformer,89,score_composite,0.8573216300974105,0.8861059214695038,0.09946448253033617,0.3304283245493855,0.9601761571244624,0.8385770790107766,0.917722165762656
