epoch,lr,acc_all,acc_no_bg,f1m,ioum,precm,recm,loss,d21_acc,d21_f1,d21_iou,val_d11_acc,val_d11_f1,val_d11_iou,val_d22_acc,val_d22_f1,val_d22_iou
1,0.00019996641784760462,0.6436767578125,0.6902750134468079,0.3847917914390564,0.24363870918750763,0.27033013105392456,0.6772367358207703,1.2708163658777873,0.9705039858818054,0.48631593585014343,0.3212796747684479,0.9674277901649475,0.4543556272983551,0.29395872354507446,0.9793199896812439,0.41722190380096436,0.26360100507736206
2,0.00019986569440594827,0.8535721898078918,0.7608849406242371,0.5982383489608765,0.42941027879714966,0.5006555914878845,0.7603325247764587,0.40961940089861554,0.9889507293701172,0.6917589902877808,0.5287702679634094,0.9859773516654968,0.6459002494812012,0.4769960641860962,0.9898501634597778,0.602085530757904,0.43070271611213684
3,0.0001996978987058466,0.6121620535850525,0.7945318818092346,0.4284539818763733,0.27886101603507996,0.3077787160873413,0.7834082841873169,1.2790045241514842,0.940341055393219,0.3165270686149597,0.18802028894424438,0.9385318160057068,0.30304354429244995,0.1785806268453598,0.9735068678855896,0.3799843490123749,0.23455598950386047
4,0.00019946314574609083,0.7406365871429443,0.8112859129905701,0.5299733877182007,0.36693274974823,0.4194267988204956,0.810641348361969,0.8466532727082571,0.9787507653236389,0.5515146255493164,0.38075268268585205,0.964680552482605,0.43994373083114624,0.28200507164001465,0.9838777184486389,0.5108572840690613,0.3430546224117279
5,0.00019916159641463347,0.8127068877220154,0.7004037499427795,0.570842981338501,0.41129234433174133,0.5353524684906006,0.7266513705253601,0.5763648351033529,0.9915205836296082,0.7381452918052673,0.5849685668945312,0.9922311902046204,0.7332568764686584,0.5788520574569702,0.9906840920448303,0.6130856871604919,0.44205018877983093
6,0.00019879345737832356,0.8952456712722778,0.8047924041748047,0.6841900944709778,0.5219368934631348,0.6055929064750671,0.8093565702438354,0.30256133278210956,0.9906044602394104,0.7323376536369324,0.5777071714401245,0.9926038384437561,0.7730283737182617,0.630029559135437,0.9913098812103271,0.6575869917869568,0.4898544251918793
7,0.00019835898094126763,0.8354440927505493,0.8323967456817627,0.6230323314666748,0.4589589834213257,0.5124956369400024,0.8297241926193237,0.48641890784104663,0.9889366030693054,0.7163471579551697,0.5580536127090454,0.9896034598350525,0.7206628918647766,0.5633096098899841,0.9929726123809814,0.6827910542488098,0.5183619260787964
8,0.00019785846487191302,0.868049681186676,0.8429001569747925,0.6589882969856262,0.4948078691959381,0.5468957424163818,0.8452607989311218,0.3924723267555237,0.9903936982154846,0.7370753288269043,0.5836257338523865,0.9907124042510986,0.7392873167991638,0.5864042043685913,0.990551769733429,0.6397531032562256,0.47032126784324646
9,0.00019729225219897235,0.7872841358184814,0.7657065391540527,0.5338509678840637,0.37294232845306396,0.43696779012680054,0.747668445110321,0.6730204423268636,0.9608809351921082,0.42800238728523254,0.27226656675338745,0.9599364995956421,0.4171822667121887,0.2635693848133087,0.9866943359375,0.5101471543312073,0.3424144387245178
10,0.00019666073097632873,0.8938245177268982,0.8043553829193115,0.6812611222267151,0.5203264355659485,0.5998543500900269,0.8145864009857178,0.3118625084559123,0.9922825694084167,0.782800555229187,0.6431160569190979,0.9934210777282715,0.7921403646469116,0.6558214426040649,0.9934711456298828,0.721023440361023,0.5637503266334534
11,0.00019596433401708298,0.62626051902771,0.8441072702407837,0.4885222315788269,0.33282670378685,0.3569168448448181,0.8345503211021423,1.1606346766153972,0.9769942164421082,0.5545603632926941,0.38366207480430603,0.9615388512611389,0.4254011809825897,0.27016481757164,0.9908588528633118,0.6271879076957703,0.4568636417388916
12,0.0001952035385969251,0.8559814691543579,0.7964327335357666,0.6152499914169312,0.4561880826950073,0.5219763517379761,0.7868144512176514,0.4496823052565257,0.9908202886581421,0.747989296913147,0.597430408000946,0.9867482781410217,0.6832130551338196,0.5188485383987427,0.9925960898399353,0.6977232694625854,0.5357718467712402
13,0.00019437886612703355,0.8403410315513611,0.839722752571106,0.6570433378219604,0.500105082988739,0.5647364258766174,0.8421037793159485,0.49088028570016223,0.9926899075508118,0.784711480140686,0.645699679851532,0.9921348094940186,0.767094075679779,0.6221837997436523,0.9930253028869629,0.703776478767395,0.5429437756538391
14,0.00019349088179672583,0.8915733098983765,0.8644341826438904,0.7191851735115051,0.567487359046936,0.6273102760314941,0.8713932037353516,0.3107234388589859,0.991732656955719,0.7704765796661377,0.6266465783119202,0.9912648797035217,0.7629706859588623,0.6167765855789185,0.9924380779266357,0.7047609686851501,0.5441164970397949
15,0.00019254019418610616,0.9010947942733765,0.8716075420379639,0.7365607023239136,0.5903124213218689,0.6506403684616089,0.8757866621017456,0.28539658337831497,0.9936266541481018,0.8029556274414062,0.6707819104194641,0.9949706792831421,0.8387840986251831,0.7223325967788696,0.9923712611198425,0.7016132473945618,0.5403731465339661
16,0.00019152745484897493,0.8420538902282715,0.8807165026664734,0.6513517498970032,0.48836785554885864,0.5297300815582275,0.881026029586792,0.48738352457682294,0.9875462651252747,0.6928829550743103,0.5300848484039307,0.990039050579071,0.7305526733398438,0.5754887461662292,0.9883262515068054,0.6084557771682739,0.4372522234916687
