epoch,split,loss,acc,prec,rec,f1,iou,d21_acc,d21_f1,d21_iou,sec
1,train,2.947523335092946,0.06146044284105301,0.05788939818739891,0.06146044284105301,0.05658809468150139,0.03228235989809036,0.79642563292244,0.07640583591616625,0.047054780588151955,8.94017243385315
1,val,2.4567962934573493,0.11374770104885101,0.06597316265106201,0.11374770104885101,0.07191634178161621,0.049195535480976105,0.8390888637963708,0.0,0.0,8.94017243385315
2,train,2.614704452062908,0.08389867842197418,0.0748090073466301,0.08389867842197418,0.07588054239749908,0.04242686554789543,0.7991343805050123,0.10036127246660272,0.0630625532768365,8.285308361053467
2,val,2.4812344908714294,0.14522919058799744,0.060315798968076706,0.14522919058799744,0.07238802313804626,0.04805963113903999,0.5376472473142719,0.3133762508662235,0.24770185682493362,8.285308361053467
3,train,2.529409736394882,0.08590862154960632,0.07710228860378265,0.08590862154960632,0.07752922922372818,0.04374156892299652,0.8073689272841117,0.07459691011201795,0.04804020575838274,8.28915810585022
3,val,2.444387530287107,0.1636548936367035,0.09802822768688202,0.1636548936367035,0.08559154719114304,0.04950239881873131,0.6464331222802734,0.20060269203489725,0.16254534738723322,8.28915810585022
4,train,2.499611322189632,0.09149104356765747,0.08248507976531982,0.09149104356765747,0.08365859091281891,0.04708608612418175,0.7864837087317214,0.10585115630365366,0.07342739636569699,8.23881196975708
4,val,2.3160385390122733,0.16270554065704346,0.07382093369960785,0.16270554065704346,0.0887322723865509,0.055891748517751694,0.7045938703746529,0.08857249258698789,0.07152936985389625,8.23881196975708
5,train,2.449970626517346,0.09627165645360947,0.08421353995800018,0.09627165645360947,0.08607611060142517,0.04870368540287018,0.8017683333047196,0.09299234394686867,0.06947899498364704,8.309661388397217
5,val,2.310231109460195,0.19996759295463562,0.10307741165161133,0.19996759295463562,0.11634566634893417,0.07665293663740158,0.8222440421478331,0.1369818834615105,0.12218758378330312,8.309661388397217
6,train,2.4567470497206636,0.09906348586082458,0.0899200364947319,0.09906348586082458,0.08689399063587189,0.049100615084171295,0.7729561683837708,0.13970777753557234,0.10671606135179701,8.337989091873169
