epoch,split,loss,acc,prec,rec,f1,iou,d21_acc,d21_f1,d21_iou,sec
1,train,2.8942621999665312,0.18529237806797028,0.054658323526382446,0.05433613434433937,0.052685998380184174,0.029490627348423004,0.7973994972891446,0.0781659594176372,0.04701746482700981,38.64432239532471
1,val,2.703089917699496,0.2423168420791626,0.060915231704711914,0.056258849799633026,0.04211563616991043,0.02475897967815399,0.8250593842574708,0.07828390263422005,0.04857064472620148,38.64432239532471
2,train,2.72281570277716,0.23041929304599762,0.06038026511669159,0.06376083940267563,0.059326671063899994,0.03391175717115402,0.8258844959813247,0.06315726514952019,0.03686673355941138,37.91624617576599
2,val,2.5428323100010553,0.2646503150463104,0.05022246390581131,0.06325312703847885,0.047907713800668716,0.03173346817493439,0.7769526584684571,0.14900818811552002,0.10254926161063221,37.91624617576599
3,train,2.6084504124365355,0.265718013048172,0.06359162926673889,0.06602269411087036,0.06182426959276199,0.0363108329474926,0.8011892160796513,0.09852036708963624,0.06571256131442758,37.850353479385376
3,val,2.4102541307608285,0.23231807351112366,0.06468725949525833,0.10796494036912918,0.04912767931818962,0.02988693118095398,0.8289832223402626,0.02558390159185957,0.013343384281055961,37.850353479385376
4,train,2.5345599180773686,0.284102201461792,0.0662965476512909,0.07092076539993286,0.062282778322696686,0.036996301263570786,0.821314439770219,0.059294525981619335,0.03400601197990956,37.79190993309021
4,val,2.3692148476839066,0.3386785387992859,0.05233678221702576,0.10108624398708344,0.05648784339427948,0.037677451968193054,0.835431628756767,0.0,0.0,37.79190993309021
5,train,2.583951014280319,0.2910950779914856,0.07292822003364563,0.07660292088985443,0.06811784207820892,0.0406329445540905,0.8158800009837837,0.11580277275919376,0.07747337148016607,38.37757921218872
5,val,2.430525484184424,0.3455717861652374,0.059784818440675735,0.0722823217511177,0.05149685591459274,0.034253764897584915,0.8374050891585915,0.00694832991011703,0.003519194068362701,38.37757921218872
6,train,2.489371726701134,0.3384679853916168,0.07197606563568115,0.07780107110738754,0.06588174402713776,0.04070141166448593,0.7932089346945125,0.12979082860924782,0.09624271923423983,38.20839548110962
6,val,2.301249591012796,0.36242353916168213,0.050519268959760666,0.08286285400390625,0.05874620005488396,0.03989986330270767,0.7215452265145789,0.18164411301005765,0.14505693770796005,38.20839548110962
7,train,2.4724471791794427,0.3124537467956543,0.07376394420862198,0.07996014505624771,0.06822729855775833,0.04152002930641174,0.7859265381965356,0.13302182580080407,0.09769585947092628,38.21645545959473
7,val,2.2691837896903357,0.3498764932155609,0.05994465947151184,0.0972609668970108,0.05666526034474373,0.038208264857530594,0.8390888637963708,0.0,0.0,38.21645545959473
8,train,2.3810025117899243,0.3373841345310211,0.07295062392950058,0.08735518157482147,0.06837537884712219,0.042586494237184525,0.80621504761236,0.08036436526956794,0.052384290485622334,37.87674307823181
8,val,2.1892364025115967,0.32173657417297363,0.054278381168842316,0.08570016920566559,0.057301051914691925,0.03796486184000969,0.7766237059635618,0.13402799468129598,0.09990687341624634,37.87674307823181
9,train,2.4190925337766345,0.30350619554519653,0.06899552792310715,0.08284826576709747,0.06744314730167389,0.040942367166280746,0.8305743003180049,0.08909594391692685,0.05913732946475328,37.88125491142273
9,val,2.195666916668415,0.35227903723716736,0.07120054215192795,0.09327314049005508,0.06498843431472778,0.042941369116306305,0.8123761439716363,0.08153540348135666,0.05170114145249594,37.88125491142273
10,train,2.4277992358333185,0.31340116262435913,0.06908062845468521,0.08270081132650375,0.06794699281454086,0.04122690111398697,0.8254052145712878,0.08521335505704798,0.05563422719138495,37.88534879684448
10,val,2.2912917534510293,0.36844030022621155,0.05802809074521065,0.11473870277404785,0.06167116016149521,0.04141908511519432,0.831479958056308,0.0270990192403073,0.014636191874376064,37.88534879684448
11,train,2.486673602932378,0.2860909700393677,0.07674846798181534,0.07786235213279724,0.06599663943052292,0.039351947605609894,0.7942473628883028,0.08465814052757342,0.05977628715977532,37.886743783950806
11,val,2.29561073333025,0.3618343770503998,0.06506695598363876,0.11202086508274078,0.06745332479476929,0.044978149235248566,0.7999359449772796,0.1503873700908215,0.1023088821196369,37.886743783950806
12,train,2.364279559725209,0.32429781556129456,0.06822141259908676,0.08413217216730118,0.06527531147003174,0.040523432195186615,0.7914429525969088,0.12438448392111402,0.08787869732266095,37.87458395957947
12,val,2.2309198155999184,0.3474809229373932,0.05994711071252823,0.08235080540180206,0.06513109803199768,0.04215722158551216,0.6812867547127833,0.25133510366614514,0.19763951599671792,37.87458395957947
13,train,2.4073824515468196,0.32148534059524536,0.07899273186922073,0.08866900950670242,0.07117367535829544,0.04359941557049751,0.8144422526583774,0.11492507838378181,0.0811558686512932,40.56937050819397
13,val,2.2447005386153855,0.3600800037384033,0.06394398957490921,0.10205839574337006,0.06257706880569458,0.04227365553379059,0.7634847445973804,0.1684115614177364,0.12749359293587298,40.56937050819397
14,train,2.3425091445446014,0.3285028338432312,0.0785924419760704,0.09853643923997879,0.07784469425678253,0.04761359840631485,0.8146847317560665,0.07337125125609188,0.04817282256351479,41.07778811454773
14,val,2.217250277598699,0.28171998262405396,0.06742756813764572,0.08511628955602646,0.05746912956237793,0.035200513899326324,0.7512585200983696,0.1870950015488884,0.15245556998185608,41.07778811454773
15,train,2.331113830051924,0.30747029185295105,0.07049044221639633,0.0934440866112709,0.0675416961312294,0.041348639875650406,0.8390964795653403,0.037542563844797254,0.023169982433797278,41.03743767738342
15,val,2.216601168115934,0.3792135417461395,0.06116506829857826,0.11800111085176468,0.06810015439987183,0.04570072516798973,0.741595169508217,0.1916437043665448,0.1497823756533464,41.03743767738342
16,train,2.323269400471135,0.3223821818828583,0.07319366186857224,0.09100665897130966,0.07177760452032089,0.044131092727184296,0.7894003649142387,0.0974769246336602,0.06706199833289901,40.78395962715149
16,val,2.185656507809957,0.36762556433677673,0.05613022297620773,0.10906795412302017,0.06659441441297531,0.04438406601548195,0.8384533426098884,9.487960170568892e-05,4.746992577659492e-05,40.78395962715149
17,train,2.3064181381150295,0.33863958716392517,0.07643309235572815,0.09031734615564346,0.07060658186674118,0.043865885585546494,0.8419422217550916,0.03716488777563784,0.02316655898178222,40.888365745544434
17,val,2.221673585474491,0.34074103832244873,0.06486405432224274,0.09283637255430222,0.06339853256940842,0.04153759777545929,0.8321051314203087,0.0313541749914178,0.017333301819578293,40.888365745544434
18,train,2.361189074579038,0.32536524534225464,0.07529884576797485,0.08936309814453125,0.07176416367292404,0.04401404783129692,0.8023587420356636,0.08989207535848426,0.06483120789247078,41.07832145690918
18,val,2.19318779806296,0.3362017571926117,0.06388276070356369,0.07731888443231583,0.06286000460386276,0.04207774996757507,0.818733246530936,0.052942933298779436,0.032047471815834165,41.07832145690918
19,train,2.2678689843729924,0.333426833152771,0.07494259625673294,0.09295225888490677,0.07359059900045395,0.045811403542757034,0.8144155574234949,0.08839392922058831,0.06006133543207148,41.22571301460266
19,val,2.187925217052301,0.3302210867404938,0.07335946708917618,0.11593342572450638,0.060716647654771805,0.040758807212114334,0.8367954534661627,0.002709751472784234,0.0013815994048907837,41.22571301460266
20,train,2.2151665860100795,0.3266240954399109,0.08232908695936203,0.09070999920368195,0.07398368418216705,0.04595481604337692,0.8289615258422041,0.0665511582071808,0.04953973575209078,41.24932026863098
20,val,2.366264214118322,0.3039673864841461,0.041930124163627625,0.07468833029270172,0.04872521758079529,0.03291331231594086,0.83778360154865,0.0,0.0,41.24932026863098
21,train,2.4417935716478447,0.3145315647125244,0.0670265257358551,0.09016380459070206,0.06568923592567444,0.04037170112133026,0.8514152234777838,0.0386060816585826,0.025138432581431315,41.12575650215149
21,val,2.450608236094316,0.3435724377632141,0.06803767383098602,0.11064509302377701,0.06568456441164017,0.043107178062200546,0.7528002761066062,0.22459567886789933,0.17795976452304643,41.12575650215149
22,train,2.3168394493429285,0.3099760115146637,0.06942880153656006,0.09981869161128998,0.07279366999864578,0.044268008321523666,0.7857987793442902,0.09292716896729503,0.06460870527424607,40.97044610977173
22,val,2.226953354974588,0.3600980341434479,0.07115621864795685,0.11052311956882477,0.06442297250032425,0.04253990575671196,0.8383812050207718,0.005679914737885549,0.00296141872200358,40.97044610977173
23,train,2.315346726932024,0.3178195059299469,0.07706444710493088,0.10127464681863785,0.07454077154397964,0.045798029750585556,0.8455751183971285,0.04762063958757452,0.03331827436878051,41.16493272781372
23,val,2.266708455979824,0.28625091910362244,0.061094824224710464,0.09485013782978058,0.044233161956071854,0.030518777668476105,0.583841338437165,0.25956228218920824,0.19833494208213975,41.16493272781372
24,train,2.2555056377461082,0.34083929657936096,0.06775255501270294,0.09543957561254501,0.06917236745357513,0.04369084909558296,0.7758576687924266,0.1449870867553751,0.11319330043962213,40.73933720588684
24,val,2.348791937033335,0.2920803129673004,0.042754072695970535,0.06398579478263855,0.0408577099442482,0.02738497406244278,0.8390710618757979,4.394968492573428e-05,2.199224755520662e-05,40.73933720588684
25,train,2.2219813299806495,0.3506988286972046,0.07592681050300598,0.0980217456817627,0.07698366791009903,0.04820465296506882,0.8299117498815795,0.09331570425842226,0.06844300666834577,41.09185290336609
25,val,2.177052043378353,0.39186468720436096,0.06182868778705597,0.08644987642765045,0.060495954006910324,0.04081771522760391,0.8390878041582415,1.0171284328072535e-05,5.086263020827124e-06,41.09185290336609
26,train,2.2291856778295416,0.34576165676116943,0.07841514050960541,0.09802122414112091,0.07769764959812164,0.04853153973817825,0.831923207641339,0.06996616737948921,0.05071933646896869,41.14009428024292
26,val,2.1913761869072914,0.338725745677948,0.04827230051159859,0.07752085477113724,0.05240883678197861,0.03613212704658508,0.8390888637963708,0.0,0.0,41.14009428024292
27,train,2.1732789067845597,0.32730644941329956,0.07225892692804337,0.08828745037317276,0.07224998623132706,0.044759977608919144,0.7762101804977677,0.13797031825098144,0.09691182512870425,40.7818706035614
27,val,2.1557140027483306,0.3807833194732666,0.06406112015247345,0.08907468616962433,0.06869872659444809,0.04531791806221008,0.7617288580580784,0.1518825907924596,0.11563629133429155,40.7818706035614
