model,best_epoch,best_val_loss,test_loss,test_f1,test_iou,test_acc,overall_acc,train_time_sec
pointnet,43,1.9176833927631378,1.7413272733489673,0.29138481616973877,0.19998502731323242,0.30777162313461304,0.47904181480407715,688.41
pointnetpp,54,2.5343146373828254,2.2882562478383384,0.10444169491529465,0.06622561812400818,0.15819987654685974,0.30668944120407104,3496.46
dilated,2,3.025029808282852,3.052573333183924,0.02498728036880493,0.01300184428691864,0.069393590092659,0.053651828318834305,205.8
transformer,1,3.061721762021383,3.0973849991957345,0.01876395381987095,0.011683969758450985,0.0476190485060215,0.23115812242031097,4077.95
