epoch,train_loss,train_acc_all,train_acc_no_bg,train_f1_macro,train_iou_macro,train_d21_acc,train_d21_f1,train_d21_iou,train_d21_bin_acc_all,train_pred_bg_frac,train_gt_bg_frac,val_loss,val_acc_all,val_acc_no_bg,val_f1_macro,val_iou_macro,val_d21_acc,val_d21_f1,val_d21_iou,val_d21_bin_acc_all,val_pred_bg_frac,val_gt_bg_frac,lr
1.0,2.048345281157577,0.7555412961725598,0.1250338463339843,0.12978675739832143,0.07027700397652073,0.9142214273611206,0.26122981300209297,0.15023826320206363,0.9750540750068525,0.8694981089809479,0.8097832930715456,1.1954327076673508,0.8620990953947257,0.5473415473415093,0.48692690976006464,0.3337874407280098,0.9307636807636162,0.5598871053093315,0.38878000979887994,0.9836914062499873,0.7981560958059107,0.8147820723684106,0.001
2.0,1.9996841047939502,0.7451685855263154,0.17097000637802803,0.1699291874062593,0.09373918509431613,0.9179790037328048,0.3145130178683931,0.18660068051705378,0.9749921832168306,0.8373367577268361,0.8097832930715456,1.3027912179629009,0.8824218749999887,0.4362789987789685,0.4849195153294957,0.34511585388267546,0.9687673437672765,0.7972620012605615,0.662872547550799,0.9920757092927504,0.8827611019736729,0.8147820723684106,0.0009999383779245895
3.0,1.988110214471817,0.7448598225911454,0.18259766461702787,0.18257407648750842,0.10121001172791685,0.920090564627215,0.33216972388582044,0.19916278571206375,0.9756179006476146,0.8324145936129381,0.8097832930715456,1.3043686946233113,0.8846409847861728,0.4349192474192172,0.5164525363608933,0.36453044280473057,0.9642163392162723,0.7576811049512554,0.6098926032365679,0.9924085115131451,0.8857216282894623,0.8147820723684106,0.000999753526902683
4.0,1.985358378761693,0.7466506690309754,0.18342686461635235,0.18579726812710043,0.10307521786267007,0.9208719153394094,0.3341197091356893,0.2005664578469426,0.9760562829803996,0.8344291285464633,0.8097832930715456,1.1233927061160405,0.8811394942434098,0.5555347430347044,0.5419287283392445,0.38646159150907333,0.9670121545120873,0.7867999820648403,0.648532781431999,0.9912032277960399,0.8208226254111737,0.8147820723684106,0.0009994454925435043
5.0,1.978677988575216,0.7447847065172692,0.19144218314342742,0.1929790254220205,0.10739753109280155,0.9216594583122912,0.3425720777962986,0.20668897464984048,0.9763130054139249,0.8295372143126366,0.8097832930715456,0.9692614177862803,0.8700131064966994,0.665195915195869,0.5841245973350712,0.41956278216880805,0.971965534465467,0.817751319171597,0.691691462576721,0.9912057976973556,0.7700516550164375,0.8147820723684106,0.000999014350849922
6.0,1.969576072692871,0.747602282072368,0.1986843134837597,0.20230215612260288,0.11307316287750013,0.9225373519979304,0.3517109952675769,0.21337944635787479,0.9764543499862933,0.8305483634011782,0.8097832930715456,1.1515858123699825,0.8934840152138043,0.5564713064712679,0.5773420036792445,0.4144584636613281,0.9629884004883336,0.7366862445087919,0.5831379903105304,0.9921271073190662,0.840810032894726,0.8147820723684106,0.0009984602081996978
7.0,1.9692678737012963,0.7472305565549612,0.1982668988201486,0.20147515089320675,0.1125439146342294,0.9220329642183005,0.3480825125616232,0.21071422465621675,0.976350643760279,0.829880617375959,0.8097832930715456,1.0512674873073895,0.895880448190778,0.6323121323120884,0.6251564449393398,0.4614549801934989,0.9721805971805296,0.8229580573947801,0.6991747936979,0.9922735916940661,0.8160670230263053,0.8147820723684106,0.0009977832013192388
8.0,1.9637568175792695,0.7465888307805643,0.20384499983393425,0.20687783950812216,0.11588277539197518,0.923284363809949,0.3590166903016493,0.21878143926256297,0.9767085025185027,0.8275763260690785,0.8097832930715456,1.144577791293462,0.8942626953124885,0.5907009657009247,0.5988557318992289,0.43395545797815105,0.9692668442667769,0.7943743037500954,0.6588896588891515,0.9928068462170925,0.8278011924341999,0.8147820723684106,0.0009969834972498627
9.0,1.9599976083688568,0.7470447741056739,0.20811794117464877,0.2112008324946306,0.11852689032813575,0.9235216399808353,0.36043517354686305,0.2198358782351966,0.9767797102007943,0.8264063784950653,0.8097832930715456,1.0461851706107457,0.8909629420230148,0.600184537684496,0.5947712812279387,0.43049567852940573,0.9552114552113888,0.7083747402652867,0.5484367349789827,0.9900082236841978,0.8179738898026211,0.8147820723684106,0.000996061293306582
10.0,1.9593967707533586,0.7467653508771925,0.2074317261039247,0.21003207468012522,0.1178104397604018,0.9234619691051201,0.35924540039208924,0.21895132914936682,0.9768620005825104,0.8261376096491223,0.8097832930715456,1.0296840965747833,0.8836567125822254,0.6004897879897463,0.5824418809772464,0.4161282529204856,0.9679556554555883,0.7898257268959412,0.6526545345159778,0.9920885587993293,0.8040527343749897,0.8147820723684106,0.0009950168170294207
