epoch,train_loss,train_acc,train_prec,train_rec,train_f1,train_iou,val_loss,val_acc,val_prec,val_rec,val_f1,val_iou
1,0.5167192916075388,0.7336530412946428,0.0954401882949792,0.7810379241516966,0.1700953064041122,0.0929530958630765,0.668390303850174,0.1416015625,0.03911454241109555,1.0,0.07528437109606155,0.03911454241109555
2,0.35730504658487106,0.7762660435267857,0.13506735164435096,0.9997005988023953,0.2379815402159581,0.13506188819674783,0.3401016891002655,0.8120880126953125,0.15679561793906197,1.0,0.27108612015389166,0.15679561793906197
3,0.30011224415567184,0.8639090401785714,0.20428682138924012,0.9997005988023953,0.3392488231110509,0.20427432347003283,0.32190316915512085,0.939666748046875,0.3664097623635196,0.9965065502183406,0.5358065273538389,0.3659397049390635
4,0.2598976376983855,0.9157435825892857,0.2925397663907965,0.9948103792415169,0.4521250056697057,0.29209400457129464,0.2689143121242523,0.940643310546875,0.3701720220707562,0.9960698689956332,0.5397539044013252,0.3696321503808135
5,0.2283529837926229,0.9255964006696429,0.31935617794526233,0.998003992015968,0.48387486995862866,0.31915233140778093,0.21459804475307465,0.9760589599609375,0.6084863075534156,0.8829694323144105,0.7204703367183325,0.5630743525480367
6,0.1981417801645067,0.9446568080357143,0.38690338052138934,0.9983033932135729,0.5576740815074984,0.38664914382899773,0.20092615485191345,0.9474945068359375,0.39919425468558417,0.9951965065502183,0.5698212276534567,0.39842657342657345
7,0.1749846554464764,0.9518694196428571,0.4205414949970571,0.9983033932135729,0.5917884399219074,0.4202411460740243,0.2189495861530304,0.9427337646484375,0.3768725803736745,0.9777292576419214,0.5440408212853846,0.3736648865153538
8,0.15823367403613198,0.9579066685267857,0.45350156583306855,0.9972055888223553,0.6234673821483168,0.4529259779701736,0.33078475296497345,0.9705810546875,0.560738255033557,0.7296943231441048,0.6341555977229602,0.46429563767713256
9,0.14390077855851915,0.9610874720982143,0.47309385205168253,0.9976047904191617,0.6418183569295965,0.4725570841015459,0.22564647346735,0.96038818359375,0.46586345381526106,0.9117903930131004,0.6166568222090962,0.4457728437233134
10,0.1293297153380182,0.9668247767857143,0.5130403532190163,0.9973053892215569,0.6775374601667911,0.5123301717508332,0.2795790955424309,0.9726715087890625,0.5858864027538726,0.743231441048035,0.6552454282964388,0.48726023475522473
11,0.11751182128985722,0.9698172433035714,0.5366298401801995,0.9986027944111776,0.6981092583548455,0.5362272240085745,0.2594727426767349,0.977630615234375,0.6532738095238095,0.7668122270742358,0.7055042185616712,0.5450031036623215
12,0.11089923563930723,0.9699567522321428,0.5378934885726606,0.9959081836327345,0.6985160296794064,0.53670736298607,0.2576691135764122,0.9751739501953125,0.615626089989536,0.7707423580786026,0.6845064960248206,0.5203419811320755
13,0.10637086547083324,0.9721400669642857,0.5569187675070028,0.9921157684630738,0.7133835665590239,0.5544648335099559,0.16971304267644882,0.958984375,0.4594869706840391,0.985589519650655,0.6267703415717857,0.4564206268958544
14,0.09564810494581859,0.9728515625,0.5629433622339827,0.9979041916167665,0.7198185875746886,0.562278580666929,0.22168705612421036,0.9283905029296875,0.3267983278074095,0.9899563318777292,0.4913839817925653,0.3257183908045977
15,0.09453066686789195,0.9764962332589285,0.598688564037779,0.9932135728542915,0.7470630184288556,0.5962494757653826,0.10285187885165215,0.97418212890625,0.5754669358909642,0.9956331877729258,0.7293666026871402,0.5740181268882175
16,0.08357618831925923,0.9770263671875,0.6036220947781467,0.9979041916167665,0.7522287003949595,0.602857831906427,0.12101642787456512,0.9901275634765625,0.817303978370027,0.9240174672489083,0.8673908587825375,0.7658342381469417
17,0.0839565106564098,0.9773263113839286,0.6068760250258155,0.9971057884231537,0.7545217686817959,0.6058088770312879,0.12685626745224,0.9907684326171875,0.8249132279213266,0.9340611353711791,0.8761007577309031,0.7795189504373178
18,0.07889608542124431,0.9782540457589286,0.6174517470365544,0.9929141716566866,0.7614127731221062,0.6147429560059318,0.09672099724411964,0.9896087646484375,0.7913799348062296,0.9541484716157205,0.8651752128291428,0.7623866015352407
19,0.07485328283574846,0.9802594866071429,0.6395289298515104,0.9972055888223553,0.7792856028700671,0.6383848709430104,0.1598307490348816,0.9544830322265625,0.4342878816612934,1.0,0.605579796377099,0.4342878816612934
20,0.07192274017466439,0.9791887555803571,0.6274127632819868,0.9959081836327345,0.7698360655737705,0.6257995735607675,0.15232910215854645,0.961151123046875,0.4732776617954071,0.9899563318777292,0.6403954802259886,0.47101599833783503
21,0.06927259018023808,0.9815848214285714,0.6559415712593762,0.9949101796407186,0.7906257435165358,0.6537477867401141,0.07702246680855751,0.982696533203125,0.6773006134969325,0.9641921397379912,0.7956756756756757,0.6606822262118492
22,0.06643396615982056,0.9807338169642857,0.6450509743192671,0.9977045908183633,0.7835253546516185,0.6440950969654017,0.09507811814546585,0.9914093017578125,0.8447105788423154,0.9240174672489083,0.8825860271115746,0.7898469578200821
23,0.06313958846860462,0.9823207310267857,0.6649563537016059,0.9959081836327345,0.7974587445558796,0.6631446039340776,0.06943849474191666,0.9868927001953125,0.7337471414570402,0.9807860262008734,0.8394692580826014,0.7233494363929146
24,0.06225298759010103,0.9823172433035714,0.664692573862124,0.9969061876247505,0.797588629830725,0.6633242579188525,0.2629152834415436,0.9013214111328125,0.2615050816489665,1.0,0.4145921969765547,0.2615050816489665
25,0.06149725533194012,0.9830357142857142,0.6744957357519967,0.9945109780439122,0.8038235056868597,0.6719940656821094,0.07164400070905685,0.9815216064453125,0.6565129097766174,0.9882096069868995,0.7889140665853234,0.6514104778353483
26,0.060262684606843524,0.9825648716517857,0.6682527980698345,0.9951097804391218,0.7995669780682412,0.6660654642618571,0.29711149632930756,0.9858245849609375,0.8708446866485013,0.6978165938864629,0.7747878787878788,0.6323703996834191
27,0.06321135784188907,0.982275390625,0.6657937147461724,0.9895209580838323,0.7960019267822736,0.661132226445289,0.06090434640645981,0.986358642578125,0.722860791826309,0.988646288209607,0.83511619328661,0.7169094363521216
28,0.05463840232955085,0.9841761997767857,0.6893431866841633,0.9961077844311377,0.8148087677048043,0.6874913899986224,0.07480371370911598,0.9839630126953125,0.6930507946400748,0.97117903930131,0.8088743407892344,0.6790839694656489
29,0.05557929848631223,0.9833809988839286,0.6791925254040783,0.9939121756487026,0.8069521533038934,0.6763787014398261,0.11136915907263756,0.965972900390625,0.5066371681415929,1.0,0.6725403817914831,0.5066371681415929
