epoch,train_acc,train_d21_acc,train_d21_f1,train_d21_iou,train_f1,train_iou,train_loss,train_prec,train_rec,val_acc,val_d21_acc,val_d21_f1,val_d21_iou,val_f1,val_iou,val_loss,val_prec,val_rec
1,0.23979511857032776,0.9672898141961349,0.001116028609996749,0.0005685167117151555,0.035219162702560425,0.020428160205483437,2.4560050280470596,0.04248388111591339,0.0460771843791008,0.2488461136817932,0.9661793460448583,0.0,0.0,0.027162708342075348,0.01658507063984871,2.124479591846466,0.044948041439056396,0.05353835970163345
2,0.27517223358154297,0.968477389686986,7.128345546145774e-05,3.5661113992989015e-05,0.034288518130779266,0.020569510757923126,2.2848992542216653,0.05206888169050217,0.049925342202186584,0.2847071588039398,0.9661793460448583,0.0,0.0,0.04225624352693558,0.026264550164341927,2.127199729283651,0.03199125453829765,0.06551187485456467
3,0.2797747850418091,0.9685122038188734,1.5926536955661754e-05,7.965836075048796e-06,0.033454276621341705,0.02024538628757,2.2625724390933386,0.04667278751730919,0.050179168581962585,0.33257928490638733,0.9661793460448583,0.0,0.0,0.04622814431786537,0.029973797500133514,1.9668513933817546,0.035108890384435654,0.0738067552447319
4,0.28800052404403687,0.9685332850406044,0.0,0.0,0.03517357259988785,0.021362032741308212,2.2190562982308237,0.04979637637734413,0.05172820761799812,0.3186587691307068,0.9661793460448583,0.0,0.0,0.04356685280799866,0.027846140787005424,2.0114565988381705,0.03660358116030693,0.06968260556459427
5,0.29660555720329285,0.9685341282894737,0.0,0.0,0.03623261675238609,0.02222677879035473,2.190493369102478,0.051888879388570786,0.05375925451517105,0.30807849764823914,0.9661793460448583,0.0,0.0,0.03890913352370262,0.0257097240537405,1.8966950972874959,0.030341429635882378,0.06832538545131683
6,0.30015090107917786,0.968534288908306,0.0,0.0,0.03692137822508812,0.022722160443663597,2.180417820027,0.0592641681432724,0.05491930618882179,0.2624248266220093,0.9661793460448583,0.0,0.0,0.03741033002734184,0.023091481998562813,2.0399312178293862,0.03749659284949303,0.060913268476724625
7,0.29730406403541565,0.968534288908306,0.0,0.0,0.03659525141119957,0.022396182641386986,2.1586100678694877,0.04838729649782181,0.054030388593673706,0.3596397042274475,0.9661793460448583,0.0,0.0,0.0523529015481472,0.03467009589076042,1.8069271544615428,0.039324719458818436,0.08034606277942657
8,0.30184441804885864,0.968534288908306,0.0,0.0,0.037446197122335434,0.023068465292453766,2.15882452287172,0.06706152856349945,0.05494265630841255,0.34242263436317444,0.9661793460448583,0.0,0.0,0.04919903352856636,0.03197850286960602,1.8740515609582264,0.03769524767994881,0.07583924382925034
9,0.3051776587963104,0.968534288908306,0.0,0.0,0.03789866715669632,0.02340574376285076,2.146497362538388,0.0403151772916317,0.055714089423418045,0.31708085536956787,0.9661793460448583,0.0,0.0,0.046309150755405426,0.029448116198182106,1.894140938917796,0.036453403532505035,0.07041317969560623
10,0.30458587408065796,0.968534288908306,0.0,0.0,0.03609638288617134,0.022426379844546318,2.144467740309866,0.041712284088134766,0.055264491587877274,0.3223966956138611,0.9661793460448583,0.0,0.0,0.048865653574466705,0.03201640769839287,1.9312688410282135,0.03731205686926842,0.07380986213684082
