epoch,train_loss,val_loss,train_f1,val_f1,train_iou,val_iou,lr,sec
1,2.2728130617341793,0.7430002888043722,0.13025712650738394,0.5818781929631742,0.07431923299908814,0.4137274699190409,0.0002,163.9040172100067
2,2.052889868096038,0.7045931617418925,0.2510986222691426,0.5096958150669679,0.14806100059739627,0.3494931913977837,0.00019996573249755572,164.15350794792175
3,2.0141570601429972,0.5561225016911825,0.2588634678576334,0.5684509726377796,0.15400051996944691,0.40250501499044966,0.0001998629534754574,164.56447505950928
4,1.979029478726687,0.6136195560296377,0.27341683366701064,0.5137233031005192,0.16362417564622644,0.3498896188382883,0.00019969173337331284,165.54386234283447
5,1.9607810682350106,0.5153384904066721,0.292347175565665,0.6409462782070813,0.17729860100335273,0.47727250402127414,0.00019945218953682734,165.70151019096375
6,1.9466470780072513,0.5927205880482992,0.27438596193094195,0.7267715300663354,0.16500029143418557,0.5765184932224895,0.00019914448613738106,165.76968955993652
7,1.93033528994847,0.5640976627667745,0.3023779717312954,0.6689493209595184,0.18518573802590274,0.5120924553628835,0.0001987688340595138,166.24554228782654
8,1.9144721214587872,0.41450275977452594,0.3051255946042745,0.6472347353920586,0.18670967759320747,0.4831405708784056,0.0001983254907563955,166.1830370426178
9,1.9100764648064033,0.40655417740345,0.3136664942652921,0.7258573588702132,0.1921813648674254,0.5737045835120954,0.00019781476007338058,166.15687370300293
10,1.8868846918319488,0.7133137683073679,0.32508036049077044,0.5997402355013572,0.20074893194477225,0.441842278060309,0.00019723699203976766,166.335520029068
11,1.8826910532437837,0.3741582781076431,0.3294314049460192,0.6808547354931834,0.20482597853073212,0.5242889623873358,0.0001965925826289068,166.18683290481567
12,1.9079124952529694,0.36924925446510315,0.3374959155979003,0.668321987829906,0.2111570697471146,0.5089767031650477,0.0001958819734868193,166.33053517341614
13,1.8701251520143523,0.38188191999991733,0.331716122309794,0.7021359669255957,0.20631787520672254,0.5463147552186319,0.00019510565162951534,166.3718273639679
14,1.8685277008510137,0.37090430160363513,0.3397145796918131,0.7529660042957075,0.2122834118939365,0.6080788794255013,0.00019426414910921785,166.38270545005798
15,1.8644946438449246,0.44355573256810504,0.34569482644867144,0.6909381134901781,0.21828714328819948,0.5333240453766322,0.00019335804264972016,166.37741470336914
16,1.85615502954363,0.4293233702580134,0.3470741253891702,0.6250891198434675,0.21872026582510976,0.4630227427649755,0.00019238795325112867,166.1632297039032
17,1.8545810234296571,0.7488325834274292,0.33910325053192286,0.7878117044732926,0.21301379031523793,0.6540499240679317,0.00019135454576426006,166.2944667339325
18,1.8602286002019068,0.3116944233576457,0.35446854265250527,0.7698639566354921,0.22428766006896897,0.6303178122609256,0.00019025852843498607,166.19596600532532
19,1.847077196294611,0.292039655148983,0.35635753815517174,0.7237593860919905,0.22435499909685483,0.5716449323799212,0.00018910065241883677,166.29829478263855
20,1.8584215841093263,0.41705692062775296,0.35360787728358717,0.6330907271778096,0.22402988292007436,0.4709601053587731,0.00018788171126619653,166.17093110084534
21,1.8463310903602548,0.3206304833292961,0.35669584647408376,0.7396285838676541,0.2258465720352666,0.591249883489967,0.00018660254037844388,166.08126735687256
22,1.8359004467517346,0.38121231396993,0.3690947867224806,0.7869968518436304,0.23516421576997104,0.6526038247820459,0.00018526401643540922,166.44174528121948
23,1.8332520064774094,0.6505059450864792,0.3690271331338798,0.6028036821030959,0.2343286955719268,0.43766615019835003,0.0001838670567945424,166.26442790031433
24,1.8316372299527788,0.6316026548544565,0.37555842320066934,0.8001000793749781,0.2409281122303909,0.6708187039285948,0.00018241261886220157,166.37576413154602
25,1.8445775725624778,0.4486308967073758,0.3652213688008817,0.7786124707378309,0.23193974368414977,0.6424777337663473,0.00018090169943749476,166.37730431556702
26,1.842676291932593,0.44852663824955624,0.3777426684494735,0.802641393262954,0.24223654386400503,0.6750491074014865,0.00017933533402912354,166.5299003124237
27,1.821252225162266,0.3543473059932391,0.37862222592511374,0.7898419181961335,0.2428063887136403,0.6565037551363395,0.0001777145961456971,166.6179645061493
28,1.8214807802146964,0.4709872255722682,0.3835345697683525,0.7047980068012275,0.24621243253107375,0.5492400731321514,0.0001760405965600031,166.31605434417725
29,1.8188296302215203,0.31443797796964645,0.37736171059419343,0.7923152570926582,0.24177845205843115,0.6604716362419197,0.00017431448254773944,166.19683289527893
