epoch,split,loss,acc_all,acc_no_bg,f1_macro,iou_macro,d21_acc,d21_f1,d21_iou,d21_bin_acc_all,pred_bg_frac,lr,sec,d11_acc,d11_f1,d11_iou,d11_bin_acc_all,d22_acc,d22_f1,d22_iou,d22_bin_acc_all
1,train,2.380976575299313,0.5550663998252467,0.2189631919859063,0.22737103416967955,0.1442485041053421,0.9060598433390675,0.3115185954195274,0.2034829588930712,0.9591843454458455,0.591946304053591,0.00019996590383506793,150.44566583633423,0.9187109511655929,0.36413623813452745,0.2465572582633019,0.968930535567142,0.9407448464450661,0.25974301343652745,0.1626204159366508,0.9806426466554046
1,val,1.6617683172225952,0.8517443339029948,0.6047199529906114,0.5723009915153797,0.43760381477200855,0.962992640074226,0.7869626360034482,0.6629647785738311,0.9794476826982647,0.7515610605478287,0.00019996590383506793,150.44566583633423,0.9651611891177675,0.7894784857687238,0.6698911618566735,0.9856524997284276,0.9554504137820105,0.5828787892285066,0.4279980855162782,0.988606346977776
2,train,2.3061651568663746,0.6377164071066338,0.2456703626485378,0.2891890153632131,0.1867337618115581,0.915549111380949,0.3463895819913335,0.23026678062143965,0.9649874503149498,0.6794003135279605,0.0001998636387080801,152.14568901062012,0.9117583845639134,0.36839152729651725,0.24959093068402363,0.9539852209255606,0.9415601860761927,0.26860052266864276,0.16929466191871678,0.978688183165138
2,val,1.2140561590592067,0.7280765126148859,0.7063068337738514,0.6841130282698257,0.5418581501252603,0.9640800942866797,0.7805540384654784,0.6594743666873036,0.9747280544701845,0.596954770386219,0.0001998636387080801,152.14568901062012,0.9701130274029349,0.8218051994621677,0.7120869118193957,0.9714287651906718,0.9622782695681874,0.6330542876378915,0.4807063674422593,0.9867502848304239
3,train,2.262258975233948,0.6449492872807018,0.25835119329164163,0.3051592229708437,0.20042153128291856,0.9176748852172478,0.3567931626723204,0.24035990940308627,0.9662068684892924,0.6854016755756579,0.00019969327470644626,153.55102586746216,0.9188478675305731,0.361397606003802,0.24430438913141397,0.9682704457062595,0.9522397517995943,0.31694368636594517,0.20953690022470672,0.987452617444191
3,val,1.0372514203190804,0.8277206420898438,0.6927316722770532,0.6935940819256404,0.5482169739743755,0.9697823395722428,0.8160194797793987,0.7047584867111066,0.9805954827199658,0.7067608311772346,0.00019969327470644626,153.55102586746216,0.9668485449717868,0.7944667029743736,0.6747314659757331,0.983552296956076,0.968459588249493,0.6732896305820782,0.5265017462448821,0.990388234456074
4,train,2.181251364946365,0.6395400733278509,0.25409205893908315,0.2993191601138345,0.1986138553623617,0.9231576091210124,0.34583847496910564,0.2345404047461722,0.9743763706137409,0.6780016447368421,0.0001994549285891432,152.7206211090088,0.9236057558410866,0.3786632456733007,0.25987062287979734,0.9713343034707876,0.951982698910966,0.3440601069279977,0.23159718087056214,0.9854928535324587
4,val,0.8257518596947193,0.7783889770507812,0.7257199076314768,0.7239110463906889,0.5825079002778735,0.9745221984787608,0.834165126570909,0.7306674444939132,0.9819539388017794,0.6474363555510839,0.0001994549285891432,152.7206211090088,0.9729705094270765,0.8302611026587557,0.723621707124197,0.9837718539764752,0.972190425313657,0.7399959294010389,0.6033793726770184,0.986828698051995
5,train,2.169667553587964,0.6691554019325658,0.25531038253053945,0.3068395170450714,0.2037071192855321,0.9258198023533772,0.3550732248488942,0.24104121891096567,0.9767904181226497,0.7147234464946546,0.00019914876370669414,151.55108404159546,0.9288814093623496,0.359250335076633,0.24394140036561565,0.9806425931157943,0.9535160907952379,0.35218045775080425,0.23844690984316724,0.9881421540909837
5,val,0.9170619895060858,0.8648100967208544,0.6590333096683025,0.6698311694392491,0.5241973625985635,0.9741342762158361,0.826416126783502,0.7206260683042564,0.9888097974986092,0.7565222854415575,0.00019914876370669414,151.55108404159546,0.9684850257749327,0.7824592244907084,0.6567303041013899,0.9897270202633656,0.9729917073649371,0.7476745970942359,0.6174241916502244,0.990885840521612
6,train,2.160679021320845,0.6591642680921053,0.25576406289555803,0.30680357466281083,0.20345449883847322,0.9254754585879791,0.3593679571490024,0.24394078362135344,0.9761481569521447,0.7014544035259046,0.0001987749898892162,151.2702705860138,0.9263140043826684,0.2794360209374146,0.18346860916891783,0.9833700615060068,0.9497457139985489,0.1981253116995873,0.1232297535206095,0.9895014712682038
6,val,1.812716747323672,0.7393896331389745,0.540360888466239,0.5196503400304969,0.3809064790941939,0.9586555419871351,0.7173476119710359,0.5810486585958741,0.9889717102047721,0.6592220738530159,0.0001987749898892162,151.2702705860138,0.9555097680080324,0.6776427732901737,0.5322571347555134,0.9873826768660142,0.9616232532881696,0.512010041248886,0.3766055886017503,0.9912274678545111
7,train,2.1511410212307647,0.6795434249074835,0.25700389769810594,0.3111941604833377,0.20728544591085094,0.9243183635712416,0.35547503010130693,0.24159822159265545,0.9748829088710042,0.727169906883909,0.00019833386330261348,151.43434190750122,0.9325257588400259,0.3720197714063856,0.26123174131604243,0.9832311797557329,0.9537229826687931,0.3231698033210168,0.21729560666292896,0.9889178895110767
7,val,0.7515080360074838,0.8461316426595052,0.7098214589059353,0.7196215286575338,0.5820333062676589,0.97465786528109,0.8244734543914932,0.7197616357849327,0.9881668090817256,0.7276022185881933,0.00019833386330261348,151.43434190750122,0.9736573226138865,0.8240051692127984,0.7203541022453975,0.9888119167748678,0.9720356803672404,0.718487097071021,0.5800142158745347,0.9906255933970463
