epoch,train_loss,train_acc_all,train_acc_no_bg,train_f1_macro,train_iou_macro,train_d21_acc,train_d21_f1,train_d21_iou,train_d21_bin_acc_all,train_pred_bg_frac,train_d11_acc,train_d11_f1,train_d11_iou,train_d11_bin_acc_all,train_d22_acc,train_d22_f1,train_d22_iou,train_d22_bin_acc_all,val_loss,val_acc_all,val_acc_no_bg,val_f1_macro,val_iou_macro,val_d21_acc,val_d21_f1,val_d21_iou,val_d21_bin_acc_all,val_pred_bg_frac,val_d11_acc,val_d11_f1,val_d11_iou,val_d11_bin_acc_all,val_d22_acc,val_d22_f1,val_d22_iou,val_d22_bin_acc_all,lr
1,2.4443934188856113,0.48582421149407234,0.2047373953086513,0.1963891227098594,0.118598788292829,0.898791397153248,0.3036787146230686,0.18896452887326134,0.9513105912641322,0.5176134442949628,0.8956675296538535,0.31285728134552493,0.1947283361276055,0.9460605541308558,0.9436787233222556,0.15978221008018204,0.09560283477049462,0.9846235688748973,1.5309384266535442,0.8452290097872416,0.5917757848898569,0.6052181882980784,0.44684081849741036,0.9606606479427552,0.7671224420950136,0.6263693709365277,0.9843171013725369,0.7486167947451273,0.9666093343973916,0.7832749115448902,0.6479784985620137,0.988459523518804,0.9594419948010259,0.6807519884512128,0.5194656665545788,0.9864340888128579,0.00019996573249755572
2,2.3115202130137624,0.6347742147378989,0.24765955156588054,0.3086903714814393,0.18769572947312949,0.9179572521179117,0.3585830933528797,0.22338963532208436,0.9682275198555593,0.6754129049661276,0.9167788691612112,0.3646642465641569,0.22826225679499987,0.9664291168425567,0.9427834778317006,0.3022142972492975,0.18177709575536147,0.9794094379130863,1.1525307297706604,0.8251195351282755,0.7044200599193573,0.7087364017777217,0.5540750729630749,0.9638794732769641,0.7788101722520842,0.6405922156557307,0.9862553066676756,0.7004255553086599,0.9634172277826675,0.7786221963766834,0.639044121705668,0.983609602186339,0.9678557265549558,0.6860828241305343,0.5265291573351663,0.9902915954589079,0.0001998629534754574
3,2.291663784247178,0.6544239604389751,0.252524017844792,0.3202606775568535,0.1955799697473492,0.9205086910440325,0.3721489954049705,0.2332060026107142,0.9697734592677094,0.696766993382594,0.9191935743020349,0.37904848508081446,0.2387168420715458,0.9681131322899998,0.9438398034759374,0.3163969885318741,0.19152251845017254,0.9802591817361576,1.211154043674469,0.816727876663208,0.7291098932425181,0.7306956681525335,0.582639413356468,0.9739206662279511,0.8490281822854282,0.7428858716267369,0.9753925747340827,0.6855670611063639,0.9710813352292808,0.832599462811266,0.7164792211437806,0.9791950649684574,0.971491228805383,0.7520989360094353,0.6084801632646735,0.9881477355956267,0.00019969173337331284
4,2.2779240258090145,0.659924700543597,0.2562776642454254,0.32596933215696305,0.20004800900791153,0.9202111380679082,0.3689567386776918,0.23194734870036557,0.9696217250156336,0.7023834015105987,0.9187259091207186,0.36927050511733406,0.23226698288027392,0.9682564902138143,0.9447511293608479,0.32017430265983815,0.19571744873440808,0.980696511435267,1.0786514679590862,0.8147911131381989,0.70377117395401,0.7076843016631825,0.5540154364485613,0.9663134065259146,0.7892915352114033,0.6556535988708546,0.988016425238639,0.6885332763195038,0.965315235232414,0.7904141851319073,0.6545244910320959,0.9828044467501411,0.9715525677174545,0.7162531380561087,0.5658110407295581,0.9922674391004009,0.00019945218953682734
5,2.208655313178376,0.6243144215403736,0.2652861215174198,0.3306729831829867,0.20467595376396713,0.9226796168043485,0.3802230391522471,0.24216218904337966,0.9712650859271827,0.6566476888589926,0.923452337985987,0.38924832573853485,0.2493021845029473,0.9719145448057066,0.9475342606889914,0.3280055446540593,0.20243457525603165,0.9835032216318088,0.8946174383163452,0.8175921241442362,0.7159592707951864,0.7183397398928206,0.5674097599495175,0.9683351912972405,0.8055062744700215,0.6772007075502563,0.9864164564343856,0.6897755165894827,0.9705446640080858,0.8350030122909041,0.7185586410630024,0.9812721252440649,0.9705375871580605,0.7139330270658742,0.560167559705422,0.9903117709688906,0.00019914448613738106
6,2.1589510649234267,0.6022935880647673,0.27398335130012536,0.33904349196940703,0.21176611243933327,0.9269668502652916,0.38537269101589605,0.24723142773399387,0.9761436302344373,0.6265257722014314,0.9276174050578575,0.3906107115662757,0.2515690612100765,0.9773553701546731,0.9507821064611377,0.34300302210973094,0.21493999752037754,0.9862435080787599,0.8915847539901733,0.7968249917030334,0.6912306447823843,0.6906946244677421,0.5361795970812775,0.9680819155403019,0.7876913560293723,0.6537663664499663,0.9864516364202798,0.6735550860563914,0.9686477420791135,0.7950873125703645,0.6631447248727903,0.9867425706650713,0.9622238025164404,0.6468273870168223,0.48496326018773445,0.9877332051594289,0.0001987688340595138
7,2.1475178761915727,0.5822350562035621,0.27703824681001943,0.33989410009544496,0.21191109864084673,0.928562797639978,0.38731564497185483,0.24861239867091794,0.9786787766675935,0.5996927114633414,0.9296335127956465,0.3980197817574571,0.2570045462369704,0.9796284495533015,0.9508916469394442,0.3354600013576963,0.20877269525496894,0.9870785266368619,0.8844341039657593,0.7751594583193461,0.7350100179513296,0.735230512287218,0.5863368080824229,0.968946954466238,0.8162350856805315,0.6918446279554131,0.9800286187065216,0.6417447427908579,0.9695627662084231,0.8176026632481569,0.6944811030311616,0.9823965284558702,0.9695658643685725,0.7194728648324261,0.565724503848553,0.9872955322264864,0.0001983254907563955
8,2.1306227570647125,0.615403342080283,0.2709942146406307,0.3406552307022146,0.21186632270576122,0.9298960592173221,0.38920799525066746,0.24918563660093737,0.9800963501829452,0.6431626006439849,0.9305829666244324,0.3974848114817791,0.25526212859341374,0.9809954449846279,0.9511829741432817,0.3381239836439428,0.21043775436888826,0.9874022157041423,0.9541201690832773,0.8046250343322754,0.6880878508090973,0.6834693874935955,0.5293961183854349,0.9696259314043721,0.8073277689902308,0.6793168564590686,0.9868470933701495,0.6812094847361246,0.9738401513351653,0.8332200154206767,0.7161132489198664,0.9873402065700191,0.9619198846529988,0.6382962014335061,0.4719127421225969,0.9883311801485782,0.00019781476007338058
9,2.1259652584582778,0.5761026769251256,0.27842246803578796,0.3398894072263879,0.21127705866151641,0.9293145444451917,0.3909173851052717,0.25076044467656833,0.9792434052153154,0.5916874492085064,0.9291938658376152,0.3897002618836711,0.24981792116070442,0.9800136005961062,0.9519414641505044,0.34798946040385426,0.21669733216814396,0.9875263134081961,0.8229662080605825,0.8156242469946543,0.7150657077630361,0.713835005203031,0.5613209686993662,0.9664661947396002,0.7817073158013584,0.6443312836196964,0.988429514566981,0.6866342425346375,0.9547140393519186,0.7098860346592725,0.5510795519370106,0.9837742275661133,0.9738254525452835,0.7466470671237059,0.6021875633820396,0.9913497924803921,0.00019723699203976766
10,2.1279301801761545,0.5925227878810643,0.2765330697273041,0.34109859444025664,0.21212578783320227,0.9297341934383813,0.39199260835661204,0.2509967063850935,0.9801121958485101,0.6125142024113581,0.9298342530481621,0.3978210280599997,0.255556571823367,0.980033874511644,0.9515873829056791,0.3459662200905722,0.21567127187601332,0.9874324131678115,0.8413741588592529,0.8434727191925049,0.6957335670789083,0.7035724548779808,0.5522462699844782,0.9726979365597094,0.8235063847774894,0.7037365556242193,0.9888837178547414,0.7232765257358551,0.9701182686526616,0.8140324283727023,0.6878737522526838,0.986392127142936,0.9675398306918986,0.660251446807847,0.5007131303407178,0.9907815721299148,0.0001965925826289068
