epoch,split,loss,acc_all,acc_no_bg,f1_macro,iou_macro,d21_acc,d21_f1,d21_iou,d21_bin_acc_all,pred_bg_frac,lr,sec,d11_acc,d11_f1,d11_iou,d11_bin_acc_all,d22_acc,d22_f1,d22_iou,d22_bin_acc_all
1,train,2.1674872661891738,0.49307936283580045,0.2569422235483663,0.2970254355894854,0.18485691161312703,0.908879188201762,0.3571617528824937,0.22795732145159156,0.9557829204357122,0.5020275985985472,0.0002999487700838458,270.70477867126465,0.9343742011716919,0.40975650186094625,0.27090245186200335,0.9852175528541541,0.9550938090028116,0.3742033022158094,0.24220899355073564,0.9897161651074434
1,val,0.625390720864137,0.8533913791179657,0.761448418100675,0.7597396212117783,0.6218776596328168,0.9748165469883371,0.8438168617134055,0.734967328068343,0.9886719839911978,0.7145947068929672,0.0002999487700838458,270.70477867126465,0.9743866528084437,0.8467794337153373,0.735978778530249,0.9883037748789395,0.9747441711719138,0.7704609018096468,0.6315074836868902,0.9902914138065807
2,train,2.019449786972581,0.6614252993935033,0.2926538322513041,0.3684057020438023,0.23890319101754814,0.9314466135824524,0.40320263683737173,0.26664013332912956,0.9825965747497137,0.6879484477796053,0.0002997951154458088,270.6701955795288,0.9346106311762912,0.39900153590698334,0.265357669149902,0.9859212239581837,0.9564565947828886,0.37333128592612436,0.24383205265176525,0.9908757259969719
2,val,0.6620077813665072,0.8770110756158829,0.7318250884612402,0.7264896879497719,0.5939964838014721,0.9792658730150405,0.8676671994548247,0.7677506511365458,0.9927604311986936,0.7444445341825485,0.0002997951154458088,270.6701955795288,0.9746816069724452,0.8409366515508223,0.7270963775507181,0.9910846891855799,0.979492872646802,0.8009064848418154,0.6716201616450471,0.9938674200147277
3,train,1.9957880279474092,0.6667456911321272,0.29828001955491407,0.37191243834149273,0.24400584248513324,0.9310522439587592,0.4049860930114494,0.26951308057268863,0.9817081919886129,0.6914876302083334,0.00029953914139310266,279.3629786968231,0.9364847813461801,0.43418291123700337,0.2929316529020483,0.9845698306433537,0.9575161321080903,0.3841322075993045,0.250671600673435,0.9902939110469994
3,val,0.461627759039402,0.8593314091364542,0.8154338846604029,0.8094128387628997,0.6902967607771995,0.981449987401534,0.8867796856604594,0.8003359564821336,0.9877163115000336,0.708949680129687,0.00029953914139310266,279.3629786968231,0.9820856227097882,0.8936723882630394,0.8089097623920908,0.9876679920013357,0.9816581511513642,0.8184579190001461,0.6959731943401172,0.9919840494790136
4,train,1.9648734743135017,0.6644800554242051,0.3089671351799839,0.38495220192952456,0.25433030517293476,0.9317312410036714,0.4131659248562677,0.2766192736545142,0.9820563600772905,0.6850686591968201,0.00029918102335755686,352.45584535598755,0.936802756789468,0.4194708386285906,0.28121972680483304,0.9866195946407496,0.9570239574304528,0.4117430131795273,0.27336586363117965,0.9898575632194225
4,val,0.42585354298353195,0.9088525374730428,0.8219466656446457,0.8265144101366962,0.713757328447758,0.9798049062921685,0.8706379201776366,0.772147369682551,0.9914131164549252,0.7584855258464813,0.00029918102335755686,352.45584535598755,0.9813717367280459,0.882725172551436,0.7911975914517698,0.992886316208459,0.9798154446955641,0.8239904395044815,0.7032522485913159,0.990896497453809
5,train,1.9362922676822596,0.6792655007881031,0.3157180799073295,0.39718052765348066,0.26392189383172443,0.9333866182542854,0.42261477787912627,0.2838516247562143,0.9832262541116931,0.7008862411766722,0.00029872100677538467,423.64683055877686,0.9305563078425227,0.3627627556426477,0.23452569623791408,0.9858554773161882,0.9576887732143143,0.3759909484947223,0.24585211402811175,0.9913150720427503
5,val,0.4829524978995323,0.9128634184598923,0.8029180119434992,0.8059107253216607,0.6870547302486916,0.9724691479147501,0.8258805372793493,0.7057649329018639,0.9925097510926667,0.7661087413628896,0.00029872100677538467,423.64683055877686,0.9603172786200339,0.7512406142784274,0.6042005593217671,0.9897936866395421,0.9821962759454409,0.8170467048161472,0.6937158110145947,0.9951215471538645
