epoch,train_acc,train_d21_acc,train_d21_f1,train_d21_iou,train_f1,train_iou,train_loss,train_prec,train_rec,val_acc,val_d21_acc,val_d21_f1,val_d21_iou,val_f1,val_iou,val_loss,val_prec,val_rec
1,0.23979511857032776,0.8161868045204564,0.09550743488231207,0.05233964610011562,0.035219162702560425,0.020428160205483437,2.4560050431050753,0.04248388111591339,0.0460771843791008,0.2488461136817932,0.6979099462429682,0.2713126633440556,0.17070609781270227,0.027162708342075348,0.01658507063984871,2.124479591846466,0.044948041439056396,0.05353835970163345
2,0.27517223358154297,0.8290510478772615,0.09486587048456793,0.05295670678575621,0.034288518130779266,0.020569510757923126,2.2848992529668304,0.05206888169050217,0.049925342202186584,0.2847071588039398,0.7105464935302734,0.18469423060324477,0.11210017213882868,0.04225624352693558,0.026264550164341927,2.1271997491518655,0.03199125453829765,0.06551187485456467
3,0.2797747850418091,0.8384916606702303,0.07154136704606812,0.03966163048006772,0.033454276621341705,0.02024538628757,2.262572431564331,0.04667278751730919,0.050179168581962585,0.33257928490638733,0.7749184221029282,0.1489024598715453,0.09170753493284185,0.04622814431786537,0.029973797500133514,1.966851403315862,0.035108890384435654,0.0738067552447319
4,0.28800052404403687,0.8314237092670641,0.0912268668166577,0.05262260174968105,0.03517357259988785,0.021362032741308212,2.2190562976034065,0.04979637637734413,0.05172820761799812,0.3186587691307068,0.8206517348686854,0.16376851980341992,0.11018803961026909,0.04356685280799866,0.027846140787005424,2.0114565988381705,0.03660358116030693,0.06968260556459427
5,0.29660555720329285,0.8398986013312089,0.08074779123472019,0.0471402530480095,0.03623261675238609,0.02222677879035473,2.1904933841604937,0.051888879388570786,0.05375925451517105,0.30807849764823914,0.8143833726644516,0.02898387700061038,0.015268416592637854,0.03890913352370262,0.0257097240537405,1.896695117155711,0.030341429635882378,0.06832538545131683
6,0.30015090107917786,0.8458317405299136,0.06556691584605918,0.03938926301127235,0.03692137822508812,0.022722160443663597,2.180417821281835,0.0592641681432724,0.05491930618882179,0.2624248266220093,0.4578391487399737,0.2871445703956034,0.17636616869519153,0.03741033002734184,0.023091481998562813,2.039931188027064,0.03749659284949303,0.060913268476724625
7,0.29730406403541565,0.8374293277138158,0.10015618733055784,0.05974749280522749,0.03659525141119957,0.022396182641386986,2.158610064732401,0.04838729649782181,0.054030388593673706,0.3596397042274475,0.7498450527588526,0.2289168779546793,0.14427294604441462,0.0523529015481472,0.03467009589076042,1.8069271047910054,0.039324719458818436,0.08034606277942657
8,0.30184441804885864,0.8267304269891036,0.11139001048078086,0.06853586373373745,0.037446197122335434,0.023068465292453766,2.1588245253813896,0.06706152856349945,0.05494265630841255,0.34242263436317444,0.7697370598713557,0.2033592811364173,0.12778014321035394,0.04919903352856636,0.03197850286960602,1.874051570892334,0.03769524767994881,0.07583924382925034
9,0.3051776587963104,0.8238147534822163,0.11822796286099793,0.07269637627210422,0.03789866715669632,0.02340574376285076,2.146497375086734,0.0403151772916317,0.055714089423418045,0.31708085536956787,0.6736456553141276,0.27630302100437015,0.16791443697487315,0.046309150755405426,0.029448116198182106,1.894140899181366,0.036453403532505035,0.07041317969560623
10,0.30458587408065796,0.8456084803531044,0.0691312376167482,0.04250005708877564,0.03609638288617134,0.022426379844546318,2.144467738427614,0.041712284088134766,0.055264491587877274,0.3223966956138611,0.6579432735840479,0.18294185596430315,0.11139487412098485,0.048865653574466705,0.03201640769839287,1.931268831094106,0.03731205686926842,0.07380986213684082
